All relevant information about the map is below:

Total # of nodes: 217
# of robots: 84, robots_origin_location: {200: {32, 4, 70, 52, 31}, 201: {35, 46, 22, 23, 29}, 202: {5, 9, 11, 51, 60}, 203: {37, 12, 14, 15, 27}, 204: {1, 16, 53, 56, 61}, 205: {64, 65, 7, 24, 63}, 206: {72, 41, 73, 13, 59}, 207: {34, 68, 71, 74, 78}, 208: {2, 69, 40, 42, 75}, 209: {8, 45, 21}, 210: {82, 6}, 211: {76, 50, 54, 25, 28}, 212: {33, 36, 38, 49, 19}, 213: {18, 83, 77, 79}, 214: {10, 81, 20, 55, 57}, 215: {66, 67, 58, 26, 62}, 216: {39, 43, 47, 48, 17}, 217: {3, 44, 80, 84, 30}}
# of requests: 89, request_pairs: [(1, 90), (2, 91), (3, 92), (4, 93), (5, 94), (6, 95), (7, 96), (8, 97), (9, 98), (10, 99), (11, 100), (12, 101), (13, 102), (14, 103), (15, 104), (16, 105), (17, 106), (18, 107), (19, 108), (20, 109), (21, 110), (22, 111), (23, 112), (24, 113), (25, 114), (26, 115), (27, 116), (28, 117), (29, 118), (30, 119), (31, 120), (32, 121), (33, 122), (34, 123), (35, 124), (36, 125), (37, 126), (38, 127), (39, 128), (40, 129), (41, 130), (42, 131), (43, 132), (44, 133), (45, 134), (46, 135), (47, 136), (48, 137), (49, 138), (50, 139), (51, 140), (52, 141), (53, 142), (54, 143), (55, 144), (56, 145), (57, 146), (58, 147), (59, 148), (60, 149), (61, 150), (62, 151), (63, 152), (64, 153), (65, 154), (66, 155), (67, 156), (68, 157), (69, 158), (70, 159), (71, 160), (72, 161), (73, 162), (74, 163), (75, 164), (76, 165), (77, 166), (78, 167), (79, 168), (80, 169), (81, 170), (82, 171), (83, 172), (84, 173), (85, 174), (86, 175), (87, 176), (88, 177), (89, 178)]
# of depots: 18, depot nodes: [200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217]
# of service lines: 6
# of num transfers: 21, service lines mapping: {1: [179, 180, 181, 182], 2: [183, 184, 185, 186], 3: [187, 188, 189, 190], 4: [191, 192, 193, 194], 5: [195, 196, 197, 198], 6: [199]}
public transportation factor: 0.0
map_size: 217
outsourcing cost: 5417
robots max travel time: 76
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 10
transfer service time: 2
request nodes time windows: {1: (150, 550), 2: (341, 741), 3: (220, 620), 4: (328, 728), 5: (187, 587), 6: (19, 419), 7: (60, 460), 8: (218, 618), 9: (212, 612), 10: (281, 681), 11: (192, 592), 12: (156, 556), 13: (174, 574), 14: (28, 428), 15: (156, 556), 16: (174, 574), 17: (332, 732), 18: (276, 676), 19: (23, 423), 20: (188, 588), 21: (176, 576), 22: (46, 446), 23: (209, 609), 24: (298, 698), 25: (191, 591), 26: (216, 616), 27: (88, 488), 28: (234, 634), 29: (332, 732), 30: (100, 500), 31: (134, 534), 32: (58, 458), 33: (113, 513), 34: (152, 552), 35: (87, 487), 36: (233, 633), 37: (290, 690), 38: (181, 581), 39: (321, 721), 40: (335, 735), 41: (173, 573), 42: (165, 565), 43: (99, 499), 44: (100, 500), 45: (336, 736), 46: (314, 714), 47: (143, 543), 48: (251, 651), 49: (342, 742), 50: (234, 634), 51: (64, 464), 52: (203, 603), 53: (97, 497), 54: (254, 654), 55: (80, 480), 56: (104, 504), 57: (274, 674), 58: (276, 676), 59: (108, 508), 60: (282, 682), 61: (130, 530), 62: (273, 673), 63: (275, 675), 64: (229, 629), 65: (331, 731), 66: (94, 494), 67: (87, 487), 68: (64, 464), 69: (45, 445), 70: (86, 486), 71: (283, 683), 72: (220, 620), 73: (125, 525), 74: (240, 640), 75: (200, 600), 76: (313, 713), 77: (55, 455), 78: (25, 425), 79: (20, 420), 80: (26, 426), 81: (65, 465), 82: (300, 700), 83: (29, 429), 84: (336, 736), 85: (192, 592), 86: (20, 420), 87: (37, 437), 88: (207, 607), 89: (88, 488), 90: (484, 884), 91: (632, 1032), 92: (528, 928), 93: (599, 999), 94: (523, 923), 95: (209, 609), 96: (351, 751), 97: (482, 882), 98: (500, 900), 99: (455, 855), 100: (558, 958), 101: (383, 783), 102: (200, 600), 103: (296, 696), 104: (515, 915), 105: (525, 925), 106: (549, 949), 107: (605, 1005), 108: (295, 695), 109: (537, 937), 110: (493, 893), 111: (197, 597), 112: (511, 911), 113: (505, 905), 114: (562, 962), 115: (478, 878), 116: (335, 735), 117: (464, 864), 118: (616, 1016), 119: (407, 807), 120: (522, 922), 121: (218, 618), 122: (335, 735), 123: (356, 756), 124: (343, 743), 125: (598, 998), 126: (571, 971), 127: (508, 908), 128: (648, 1048), 129: (725, 1125), 130: (393, 793), 131: (363, 763), 132: (399, 799), 133: (463, 863), 134: (709, 1109), 135: (667, 1067), 136: (402, 802), 137: (650, 1050), 138: (441, 841), 139: (532, 932), 140: (352, 752), 141: (601, 1001), 142: (295, 695), 143: (397, 797), 144: (129, 529), 145: (239, 639), 146: (378, 778), 147: (651, 1051), 148: (197, 597), 149: (396, 796), 150: (428, 828), 151: (628, 1028), 152: (552, 952), 153: (335, 735), 154: (491, 891), 155: (365, 765), 156: (447, 847), 157: (248, 648), 158: (322, 722), 159: (362, 762), 160: (489, 889), 161: (512, 912), 162: (489, 889), 163: (335, 735), 164: (416, 816), 165: (614, 1014), 166: (446, 846), 167: (361, 761), 168: (208, 608), 169: (410, 810), 170: (409, 809), 171: (601, 1001), 172: (394, 794), 173: (721, 1121), 174: (353, 753), 175: (149, 549), 176: (429, 829), 177: (596, 996), 178: (353, 753)}
transfer nodes departure time: {179: 993, 180: 995, 181: 997, 182: 999, 183: 414, 184: 416, 185: 418, 186: 420, 187: 350, 188: 352, 189: 354, 190: 356, 191: 1181, 192: 1183, 193: 1185, 194: 1187, 195: 1692, 196: 1694, 197: 1696, 198: 1698, 199: 425}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 180): (35.73513677041127, 178.67568385205635, False)
   (1, 181): (63.0, 315.0, False)
   (1, 192): (61.204574992397426, 306.0228749619871, False)
   (1, 193): (45.34313619501854, 226.71568097509268, False)
   (1, 194): (68.18357573492314, 340.9178786746157, False)
   (1, 196): (51.264022471905186, 256.3201123595259, False)
   (1, 197): (48.041648597857254, 240.20824298928628, False)
   (1, 202): (47.38143096192854, 236.9071548096427, False)
   (1, 203): (6.708203932499369, 33.54101966249685, False)
   (1, 206): (50.28916384272063, 251.44581921360316, False)
   (1, 211): (52.952809179494906, 264.76404589747455, False)
   (1, 214): (57.245087125446844, 286.2254356272342, False)
   (1, 217): (62.07253821135398, 310.3626910567699, False)
   (2, 180): (65.62011886609167, 328.10059433045836, False)
   (2, 181): (68.42514157822401, 342.1257078911201, False)
   (2, 183): (70.57619995437555, 352.8809997718778, False)
   (2, 193): (70.77428911688199, 353.8714455844099, False)
   (2, 194): (75.17978451685, 375.89892258425004, False)
   (2, 195): (68.4470598345904, 342.235299172952, False)
   (2, 196): (23.345235059857504, 116.72617529928752, False)
   (2, 197): (56.61271941887264, 283.0635970943632, False)
   (2, 199): (70.21395872616783, 351.0697936308392, False)
   (2, 202): (72.01388754955533, 360.06943774777665, False)
   (2, 203): (37.013511046643494, 185.06755523321746, False)
   (2, 208): (66.94027188471824, 334.7013594235912, False)
   (2, 211): (22.47220505424423, 112.36102527122115, False)
   (3, 198): (69.81403870282824, 349.07019351414124, False)
   (3, 207): (28.653097563788805, 143.26548781894402, False)
   (3, 209): (54.037024344425184, 270.1851217221259, False)
   (3, 210): (67.36467917239716, 336.8233958619858, False)
   (3, 213): (60.01666435249463, 300.08332176247313, False)
   (3, 216): (55.226805085936306, 276.1340254296815, False)
   (4, 179): (45.617978911828175, 228.08989455914087, False)
   (4, 180): (17.804493814764857, 89.02246907382428, False)
   (4, 191): (55.86591089385369, 279.32955446926843, False)
   (4, 192): (13.92838827718412, 69.6419413859206, False)
   (4, 193): (33.1058907144937, 165.52945357246847, False)
   (4, 197): (66.48308055437865, 332.41540277189324, False)
   (4, 202): (35.84689665786984, 179.2344832893492, False)
   (4, 203): (42.1070065428546, 210.535032714273, False)
   (4, 204): (42.37924020083418, 211.8962010041709, False)
   (4, 205): (37.64306044943742, 188.2153022471871, False)
   (4, 206): (15.0, 75.0, False)
   (4, 214): (19.924858845171276, 99.62429422585637, False)
   (4, 217): (14.317821063276353, 71.58910531638176, False)
   (5, 182): (59.033888572581766, 295.16944286290885, False)
   (5, 184): (61.39218191268331, 306.9609095634166, False)
   (5, 185): (34.9857113690718, 174.928556845359, False)
   (5, 186): (57.4543296888929, 287.2716484444645, False)
   (5, 190): (39.66106403010388, 198.3053201505194, False)
   (5, 215): (72.09022125087424, 360.4511062543712, False)
   (6, 179): (67.17886572427373, 335.8943286213687, False)
   (6, 180): (13.601470508735444, 68.00735254367721, False)
   (6, 181): (59.80802621722272, 299.0401310861136, False)
   (6, 192): (41.7612260356422, 208.80613017821102, False)
   (6, 193): (26.419689627245813, 132.09844813622905, False)
   (6, 194): (63.06346010171025, 315.3173005085512, False)
   (6, 196): (69.87131027825369, 349.35655139126845, False)
   (6, 197): (45.18849411078001, 225.94247055390008, False)
   (6, 202): (29.068883707497267, 145.34441853748635, False)
   (6, 203): (15.524174696260024, 77.62087348130012, False)
   (6, 204): (67.36467917239716, 336.8233958619858, False)
   (6, 205): (62.42595614005443, 312.12978070027214, False)
   (6, 206): (34.828149534535996, 174.14074767268, False)
   (6, 211): (73.06161783043132, 365.3080891521566, False)
   (6, 214): (35.11409973215888, 175.57049866079439, False)
   (6, 217): (42.20189569201838, 211.0094784600919, False)
   (7, 96): (20.09975124224178, 100.4987562112089, False)
   (7, 182): (25.495097567963924, 127.47548783981962, False)
   (7, 185): (45.967379738244816, 229.83689869122406, False)
   (7, 186): (21.2602916254693, 106.3014581273465, False)
   (7, 190): (46.861498055439924, 234.30749027719963, False)
   (7, 200): (57.0701322935211, 285.3506614676055, False)
   (7, 201): (57.0350769263968, 285.175384631984, False)
   (7, 210): (72.3671196055225, 361.8355980276125, False)
   (7, 215): (15.297058540778355, 76.48529270389177, False)
   (8, 180): (21.2602916254693, 106.3014581273465, False)
   (8, 181): (41.182520563948, 205.91260281974002, False)
   (8, 192): (52.009614495783374, 260.0480724789169, False)
   (8, 193): (14.317821063276353, 71.58910531638176, False)
   (8, 194): (43.657759905886145, 218.28879952943072, False)
   (8, 196): (68.59300255857006, 342.9650127928503, False)
   (8, 197): (27.65863337187866, 138.2931668593933, False)
   (8, 198): (61.587336360651285, 307.9366818032564, False)
   (8, 200): (71.56116265125938, 357.8058132562969, False)
   (8, 202): (15.231546211727817, 76.15773105863909, False)
   (8, 203): (27.784887978899608, 138.92443989449805, False)
   (8, 204): (69.2314957226839, 346.1574786134195, False)
   (8, 206): (50.47771785649585, 252.38858928247924, False)
   (8, 211): (73.97972695272672, 369.8986347636336, False)
   (8, 212): (60.63827174318213, 303.19135871591067, False)
   (8, 214): (34.92849839314596, 174.6424919657298, False)
   (8, 217): (51.61395160225576, 258.0697580112788, False)
   (9, 183): (9.486832980505138, 47.434164902525694, False)
   (9, 184): (52.88667128870941, 264.43335644354704, False)
   (9, 187): (63.071388124885914, 315.35694062442957, False)
   (9, 188): (19.1049731745428, 95.524865872714, False)
   (9, 189): (41.88078318274385, 209.40391591371923, False)
   (9, 195): (30.265491900843113, 151.32745950421557, False)
   (9, 196): (46.0, 230.0, False)
   (9, 199): (57.3149195236284, 286.574597618142, False)
   (9, 208): (2.0, 10.0, False)
   (9, 211): (42.7551166528639, 213.7755832643195, False)
   (10, 181): (53.823786563191554, 269.11893281595775, False)
   (10, 183): (53.23532661682466, 266.1766330841233, False)
   (10, 184): (51.62363799656123, 258.11818998280614, False)
   (10, 188): (46.400431032480725, 232.00215516240362, False)
   (10, 189): (34.20526275297414, 171.0263137648707, False)
   (10, 194): (60.802960454241045, 304.0148022712052, False)
   (10, 195): (69.65629906907199, 348.28149534536, False)
   (10, 196): (14.560219778561036, 72.80109889280519, False)
   (10, 197): (48.703182647543684, 243.51591323771842, False)
   (10, 200): (60.41522986797286, 302.0761493398643, False)
   (10, 203): (57.8013840664737, 289.0069203323685, False)
   (10, 208): (53.85164807134504, 269.2582403567252, False)
