All relevant information about the map is below:

Total # of nodes: 225
# of robots: 94, robots_origin_location: {203: {89, 50, 68, 29}, 204: {8, 21, 88, 26, 60}, 205: {35, 4, 36, 14, 86, 23}, 206: {33, 72, 16, 51, 63}, 207: set(), 208: {1, 65, 5, 43, 84, 61}, 209: {71, 80, 53, 93, 31}, 210: {10, 74, 48, 57, 58, 28}, 211: {66, 6, 41, 76, 46}, 212: {67}, 213: {54}, 214: {11, 79, 70, 47}, 215: {39, 15, 19, 25, 59}, 216: {18, 78}, 217: {45}, 218: {77, 49, 83, 20, 52}, 219: {7, 9, 81, 82, 91}, 220: {24, 73, 42, 55}, 221: {32, 64, 3, 13, 56, 90}, 222: {2, 75, 69, 62}, 223: {37, 38, 87, 27, 92}, 224: {34, 40, 44, 22, 94}, 225: {17, 12, 85, 30}}
# of requests: 90, request_pairs: [(1, 91), (2, 92), (3, 93), (4, 94), (5, 95), (6, 96), (7, 97), (8, 98), (9, 99), (10, 100), (11, 101), (12, 102), (13, 103), (14, 104), (15, 105), (16, 106), (17, 107), (18, 108), (19, 109), (20, 110), (21, 111), (22, 112), (23, 113), (24, 114), (25, 115), (26, 116), (27, 117), (28, 118), (29, 119), (30, 120), (31, 121), (32, 122), (33, 123), (34, 124), (35, 125), (36, 126), (37, 127), (38, 128), (39, 129), (40, 130), (41, 131), (42, 132), (43, 133), (44, 134), (45, 135), (46, 136), (47, 137), (48, 138), (49, 139), (50, 140), (51, 141), (52, 142), (53, 143), (54, 144), (55, 145), (56, 146), (57, 147), (58, 148), (59, 149), (60, 150), (61, 151), (62, 152), (63, 153), (64, 154), (65, 155), (66, 156), (67, 157), (68, 158), (69, 159), (70, 160), (71, 161), (72, 162), (73, 163), (74, 164), (75, 165), (76, 166), (77, 167), (78, 168), (79, 169), (80, 170), (81, 171), (82, 172), (83, 173), (84, 174), (85, 175), (86, 176), (87, 177), (88, 178), (89, 179), (90, 180)]
# of depots: 23, depot nodes: [203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225]
# of service lines: 4
# of num transfers: 22, service lines mapping: {1: [181, 182, 183, 184, 185, 186], 2: [187, 188, 189, 190, 191, 192], 3: [193, 194, 195, 196, 197, 198], 4: [199, 200, 201, 202]}
public transportation factor: 0.6
map_size: 225
outsourcing cost: 7083
robots max travel time: 769
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (212, 612), 2: (258, 658), 3: (245, 645), 4: (334, 734), 5: (232, 632), 6: (90, 490), 7: (43, 443), 8: (27, 427), 9: (27, 427), 10: (274, 674), 11: (195, 595), 12: (151, 551), 13: (240, 640), 14: (49, 449), 15: (132, 532), 16: (143, 543), 17: (324, 724), 18: (30, 430), 19: (90, 490), 20: (306, 706), 21: (274, 674), 22: (50, 450), 23: (237, 637), 24: (81, 481), 25: (362, 762), 26: (227, 627), 27: (201, 601), 28: (291, 691), 29: (324, 724), 30: (192, 592), 31: (97, 497), 32: (62, 462), 33: (60, 460), 34: (29, 429), 35: (262, 662), 36: (320, 720), 37: (60, 460), 38: (43, 443), 39: (157, 557), 40: (193, 593), 41: (264, 664), 42: (280, 680), 43: (62, 462), 44: (60, 460), 45: (135, 535), 46: (288, 688), 47: (155, 555), 48: (285, 685), 49: (332, 732), 50: (282, 682), 51: (318, 718), 52: (43, 443), 53: (211, 611), 54: (243, 643), 55: (277, 677), 56: (243, 643), 57: (212, 612), 58: (59, 459), 59: (41, 441), 60: (327, 727), 61: (126, 526), 62: (75, 475), 63: (112, 512), 64: (49, 449), 65: (133, 533), 66: (153, 553), 67: (119, 519), 68: (275, 675), 69: (64, 464), 70: (235, 635), 71: (295, 695), 72: (163, 563), 73: (91, 491), 74: (177, 577), 75: (184, 584), 76: (70, 470), 77: (308, 708), 78: (200, 600), 79: (164, 564), 80: (162, 562), 81: (242, 642), 82: (138, 538), 83: (231, 631), 84: (47, 447), 85: (176, 576), 86: (149, 549), 87: (156, 556), 88: (106, 506), 89: (277, 677), 90: (253, 653), 91: (490, 890), 92: (382, 782), 93: (560, 960), 94: (589, 989), 95: (475, 875), 96: (293, 693), 97: (430, 830), 98: (303, 703), 99: (312, 712), 100: (648, 1048), 101: (463, 863), 102: (430, 830), 103: (328, 728), 104: (269, 669), 105: (447, 847), 106: (516, 916), 107: (651, 1051), 108: (394, 794), 109: (264, 664), 110: (573, 973), 111: (618, 1018), 112: (350, 750), 113: (512, 912), 114: (359, 759), 115: (735, 1135), 116: (544, 944), 117: (589, 989), 118: (474, 874), 119: (559, 959), 120: (556, 956), 121: (343, 743), 122: (189, 589), 123: (249, 649), 124: (237, 637), 125: (553, 953), 126: (560, 960), 127: (437, 837), 128: (378, 778), 129: (477, 877), 130: (416, 816), 131: (577, 977), 132: (320, 720), 133: (188, 588), 134: (176, 576), 135: (445, 845), 136: (550, 950), 137: (459, 859), 138: (570, 970), 139: (722, 1122), 140: (649, 1049), 141: (705, 1105), 142: (424, 824), 143: (484, 884), 144: (618, 1018), 145: (584, 984), 146: (599, 999), 147: (551, 951), 148: (403, 803), 149: (433, 833), 150: (723, 1123), 151: (418, 818), 152: (456, 856), 153: (350, 750), 154: (335, 735), 155: (449, 849), 156: (360, 760), 157: (348, 748), 158: (432, 832), 159: (309, 709), 160: (435, 835), 161: (445, 845), 162: (443, 843), 163: (424, 824), 164: (334, 734), 165: (341, 741), 166: (280, 680), 167: (701, 1101), 168: (350, 750), 169: (399, 799), 170: (324, 724), 171: (514, 914), 172: (524, 924), 173: (538, 938), 174: (400, 800), 175: (412, 812), 176: (446, 846), 177: (549, 949), 178: (283, 683), 179: (613, 1013), 180: (493, 893)}
transfer nodes departure time: {181: 120, 182: 142, 183: 165, 184: 187, 185: 210, 186: 233, 187: 1026, 188: 1050, 189: 1074, 190: 1098, 191: 1122, 192: 1147, 193: 1695, 194: 1718, 195: 1741, 196: 1764, 197: 1787, 198: 1819, 199: 1022, 200: 1053, 201: 1084, 202: 1115}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 91): (91.78235124467012, 458.9117562233506, False)
   (1, 187): (125.70600622086441, 628.530031104322, False)
   (1, 188): (95.42536350467836, 477.12681752339176, False)
   (1, 189): (70.7248188403477, 353.62409420173844, False)
   (1, 190): (58.077534382926416, 290.38767191463205, False)
   (1, 191): (66.73080248281148, 333.65401241405743, False)
   (1, 192): (90.27181176868004, 451.3590588434002, False)
   (1, 193): (133.37541002748594, 666.8770501374297, False)
   (1, 194): (100.12492197250393, 500.6246098625196, False)
   (1, 195): (66.0, 330.0, False)
   (1, 196): (32.38826948140329, 161.94134740701645, False)
   (1, 197): (10.198039027185569, 50.99019513592785, False)
   (1, 198): (52.81098370604357, 264.05491853021783, False)
   (1, 199): (139.54210834009928, 697.7105417004964, False)
   (1, 200): (107.07940978544848, 535.3970489272424, False)
   (1, 201): (87.80091115700337, 439.00455578501686, False)
   (1, 202): (91.92388155425118, 459.6194077712559, False)
   (1, 203): (67.08203932499369, 335.4101966249684, False)
   (1, 204): (95.63472172804185, 478.1736086402093, False)
   (1, 205): (57.28001396647874, 286.4000698323937, False)
   (1, 206): (10.44030650891055, 52.201532544552755, False)
   (1, 207): (11.180339887498949, 55.90169943749474, False)
   (1, 208): (114.93476410555685, 574.6738205277843, False)
   (1, 209): (45.89117562233506, 229.4558781116753, False)
   (1, 210): (19.1049731745428, 95.524865872714, False)
   (1, 211): (104.65658125507444, 523.2829062753722, False)
   (1, 212): (88.0, 440.0, False)
   (1, 213): (117.65202930676547, 588.2601465338273, False)
   (1, 214): (124.4025723206719, 622.0128616033595, False)
   (1, 215): (62.96824596572466, 314.84122982862334, False)
   (1, 216): (84.64632301523794, 423.2316150761897, False)
   (1, 217): (72.44998274671983, 362.2499137335991, False)
   (1, 218): (30.886890422961002, 154.43445211480503, False)
   (1, 219): (100.2845950283492, 501.422975141746, False)
   (1, 220): (58.66856057549052, 293.3428028774526, False)
   (1, 221): (62.42595614005443, 312.12978070027214, False)
   (1, 222): (89.62700485902673, 448.13502429513363, False)
   (1, 223): (93.94147114027967, 469.70735570139834, False)
   (1, 224): (105.60303025955268, 528.0151512977634, False)
   (1, 225): (90.60353193998566, 453.0176596999283, False)
   (2, 92): (43.73785545725808, 218.6892772862904, False)
   (2, 187): (6.324555320336759, 31.622776601683796, False)
   (2, 188): (34.52535300326414, 172.6267650163207, False)
   (2, 189): (70.25667228100119, 351.28336140500596, False)
   (2, 190): (106.23088063270491, 531.1544031635245, False)
   (2, 191): (142.1724305201258, 710.862152600629, False)
   (2, 192): (179.17868176767013, 895.8934088383506, False)
   (2, 193): (137.05838172107534, 685.2919086053766, False)
   (2, 194): (119.25183436744275, 596.2591718372138, False)
   (2, 195): (109.00458705944443, 545.0229352972221, False)
   (2, 196): (109.11003620199197, 545.5501810099598, False)
   (2, 197): (119.54078801814885, 597.7039400907443, False)
   (2, 198): (147.27185746095552, 736.3592873047776, False)
   (2, 199): (182.7840255602223, 913.9201278011114, False)
   (2, 200): (136.01470508735443, 680.0735254367721, False)
   (2, 201): (89.26925562588724, 446.3462781294362, False)
   (2, 202): (44.0, 220.0, False)
   (2, 203): (79.1580697086532, 395.790348543266, False)
   (2, 204): (123.69316876852982, 618.4658438426491, False)
   (2, 205): (72.91776189653656, 364.5888094826828, False)
   (2, 206): (124.77579893553076, 623.8789946776537, False)
   (2, 207): (138.06158046321215, 690.3079023160608, False)
   (2, 208): (138.57849761056005, 692.8924880528002, False)
   (2, 209): (101.9803902718557, 509.9019513592785, False)
   (2, 210): (124.32618388738553, 621.6309194369276, False)
   (2, 211): (159.47727110782904, 797.3863555391451, False)
   (2, 212): (207.44637861384805, 1037.2318930692402, False)
   (2, 213): (104.01922899156675, 520.0961449578338, False)
   (2, 214): (115.24755962709145, 576.2377981354573, False)
   (2, 215): (71.58910531638176, 357.9455265819088, False)
   (2, 216): (175.410946066658, 877.05473033329, False)
   (2, 217): (157.30543537970962, 786.5271768985481, False)
   (2, 218): (129.6919426949878, 648.459713474939, False)
   (2, 219): (85.7962703152066, 428.981351576033, False)
   (2, 220): (185.5693940282179, 927.8469701410895, False)
   (2, 221): (189.21152184790438, 946.0576092395219, False)
   (2, 222): (198.20443990990717, 991.0221995495358, False)
   (2, 223): (154.05518491761322, 770.2759245880661, False)
   (2, 224): (156.1089363233252, 780.544681616626, False)
   (2, 225): (54.45181356024793, 272.25906780123967, False)
   (3, 93): (59.64059020499378, 298.2029510249689, False)
   (3, 187): (166.35504200354134, 831.7752100177067, False)
   (3, 188): (132.9135057095403, 664.5675285477014, False)
   (3, 189): (101.24228365658294, 506.2114182829147, False)
   (3, 190): (74.41102068914255, 372.05510344571275, False)
   (3, 191): (57.48912940721924, 287.4456470360962, False)
   (3, 192): (61.84658438426491, 309.23292192132453, False)
   (3, 193): (40.70626487409524, 203.5313243704762, False)
   (3, 194): (43.32435804486894, 216.6217902243447, False)
   (3, 195): (66.48308055437865, 332.41540277189324, False)
   (3, 196): (96.56603957913983, 482.83019789569914, False)
   (3, 197): (128.80993750483694, 644.0496875241847, False)
   (3, 198): (175.6843760839307, 878.4218804196535, False)
   (3, 199): (20.591260281974, 102.95630140987001, False)
   (3, 200): (26.570660511172846, 132.85330255586422, False)
   (3, 201): (73.92563831310488, 369.6281915655244, False)
   (3, 202): (121.33424908079334, 606.6712454039667, False)
   (3, 203): (93.23089616645332, 466.1544808322666, False)
   (3, 204): (39.824615503479755, 199.12307751739877, False)
   (3, 205): (140.73023839957068, 703.6511919978534, False)
   (3, 206): (112.53888216967503, 562.6944108483751, False)
   (3, 207): (124.32618388738553, 621.6309194369276, False)
   (3, 208): (25.019992006393608, 125.09996003196804, False)
   (3, 209): (88.23831367382311, 441.19156836911554, False)
   (3, 210): (140.9432509913121, 704.7162549565605, False)
   (3, 211): (21.095023109728988, 105.47511554864494, False)
   (3, 212): (121.49074038789952, 607.4537019394976, False)
   (3, 213): (219.22134932528812, 1096.1067466264406, False)
   (3, 214): (56.88585061331157, 284.42925306655786, False)
   (3, 215): (149.24141516348604, 746.2070758174302, False)
   (3, 216): (64.19501538281614, 320.97507691408066, False)
