All relevant information about the map is below:

Total # of nodes: 231
# of robots: 90, robots_origin_location: {193: {83, 86}, 194: {10, 76}, 195: {33, 90}, 196: {41, 47}, 197: {9, 69, 87}, 198: {67, 44, 30}, 199: {29, 54}, 200: {45, 22, 15}, 201: {17, 4, 53, 70}, 202: {49, 36, 38}, 203: set(), 204: {59}, 205: {56, 28, 39}, 206: set(), 207: {80, 1, 66, 51}, 208: {46, 52, 85, 14}, 209: {32}, 210: {79}, 211: {58, 63}, 212: {64}, 213: {81, 65, 60, 6}, 214: {8, 72, 27, 21}, 215: {34, 75, 12, 71}, 216: {20}, 217: {48, 50, 19, 13}, 218: {62}, 219: {23}, 220: {89, 73, 74}, 221: {43}, 222: {18, 68, 37}, 223: {11, 31}, 224: {42, 61, 55}, 225: {82, 35, 84, 78}, 226: {25}, 227: set(), 228: {16, 24, 26, 77}, 229: {57, 2, 5, 7}, 230: {40}, 231: {88, 3}}
# of requests: 93, request_pairs: [(1, 94), (2, 95), (3, 96), (4, 97), (5, 98), (6, 99), (7, 100), (8, 101), (9, 102), (10, 103), (11, 104), (12, 105), (13, 106), (14, 107), (15, 108), (16, 109), (17, 110), (18, 111), (19, 112), (20, 113), (21, 114), (22, 115), (23, 116), (24, 117), (25, 118), (26, 119), (27, 120), (28, 121), (29, 122), (30, 123), (31, 124), (32, 125), (33, 126), (34, 127), (35, 128), (36, 129), (37, 130), (38, 131), (39, 132), (40, 133), (41, 134), (42, 135), (43, 136), (44, 137), (45, 138), (46, 139), (47, 140), (48, 141), (49, 142), (50, 143), (51, 144), (52, 145), (53, 146), (54, 147), (55, 148), (56, 149), (57, 150), (58, 151), (59, 152), (60, 153), (61, 154), (62, 155), (63, 156), (64, 157), (65, 158), (66, 159), (67, 160), (68, 161), (69, 162), (70, 163), (71, 164), (72, 165), (73, 166), (74, 167), (75, 168), (76, 169), (77, 170), (78, 171), (79, 172), (80, 173), (81, 174), (82, 175), (83, 176), (84, 177), (85, 178), (86, 179), (87, 180), (88, 181), (89, 182), (90, 183), (91, 184), (92, 185), (93, 186)]
# of depots: 39, depot nodes: [193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231]
# of service lines: 1
# of num transfers: 6, service lines mapping: {1: [187, 188, 189, 190, 191, 192]}
public transportation factor: 0.2
map_size: 231
outsourcing cost: 6667
robots max travel time: 43
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (277, 677), 2: (282, 682), 3: (231, 631), 4: (374, 774), 5: (152, 552), 6: (132, 532), 7: (247, 647), 8: (142, 542), 9: (374, 774), 10: (208, 608), 11: (292, 692), 12: (157, 557), 13: (105, 505), 14: (139, 539), 15: (160, 560), 16: (358, 758), 17: (364, 764), 18: (325, 725), 19: (94, 494), 20: (32, 432), 21: (291, 691), 22: (68, 468), 23: (144, 544), 24: (53, 453), 25: (276, 676), 26: (120, 520), 27: (331, 731), 28: (61, 461), 29: (47, 447), 30: (65, 465), 31: (152, 552), 32: (216, 616), 33: (66, 466), 34: (110, 510), 35: (32, 432), 36: (324, 724), 37: (211, 611), 38: (338, 738), 39: (352, 752), 40: (98, 498), 41: (306, 706), 42: (178, 578), 43: (62, 462), 44: (183, 583), 45: (248, 648), 46: (343, 743), 47: (226, 626), 48: (149, 549), 49: (168, 568), 50: (289, 689), 51: (109, 509), 52: (315, 715), 53: (231, 631), 54: (118, 518), 55: (223, 623), 56: (314, 714), 57: (57, 457), 58: (261, 661), 59: (193, 593), 60: (340, 740), 61: (111, 511), 62: (314, 714), 63: (264, 664), 64: (265, 665), 65: (133, 533), 66: (124, 524), 67: (178, 578), 68: (138, 538), 69: (100, 500), 70: (131, 531), 71: (93, 493), 72: (179, 579), 73: (121, 521), 74: (219, 619), 75: (36, 436), 76: (110, 510), 77: (281, 681), 78: (52, 452), 79: (74, 474), 80: (345, 745), 81: (74, 474), 82: (242, 642), 83: (291, 691), 84: (111, 511), 85: (350, 750), 86: (269, 669), 87: (268, 668), 88: (106, 506), 89: (84, 484), 90: (280, 680), 91: (305, 705), 92: (215, 615), 93: (257, 657), 94: (462, 862), 95: (616, 1016), 96: (628, 1028), 97: (746, 1146), 98: (388, 788), 99: (229, 629), 100: (451, 851), 101: (319, 719), 102: (571, 971), 103: (342, 742), 104: (690, 1090), 105: (449, 849), 106: (322, 722), 107: (226, 626), 108: (539, 939), 109: (713, 1113), 110: (631, 1031), 111: (444, 844), 112: (473, 873), 113: (198, 598), 114: (523, 923), 115: (444, 844), 116: (523, 923), 117: (354, 754), 118: (568, 968), 119: (393, 793), 120: (583, 983), 121: (319, 719), 122: (320, 720), 123: (389, 789), 124: (425, 825), 125: (451, 851), 126: (302, 702), 127: (168, 568), 128: (287, 687), 129: (563, 963), 130: (538, 938), 131: (534, 934), 132: (588, 988), 133: (361, 761), 134: (436, 836), 135: (200, 600), 136: (430, 830), 137: (496, 896), 138: (432, 832), 139: (650, 1050), 140: (528, 928), 141: (532, 932), 142: (356, 756), 143: (630, 1030), 144: (261, 661), 145: (537, 937), 146: (391, 791), 147: (408, 808), 148: (445, 845), 149: (548, 948), 150: (348, 748), 151: (567, 967), 152: (424, 824), 153: (655, 1055), 154: (192, 592), 155: (666, 1066), 156: (531, 931), 157: (615, 1015), 158: (355, 755), 159: (236, 636), 160: (492, 892), 161: (367, 767), 162: (435, 835), 163: (338, 738), 164: (391, 791), 165: (557, 957), 166: (339, 739), 167: (404, 804), 168: (410, 810), 169: (495, 895), 170: (350, 750), 171: (98, 498), 172: (390, 790), 173: (442, 842), 174: (342, 742), 175: (480, 880), 176: (661, 1061), 177: (350, 750), 178: (655, 1055), 179: (525, 925), 180: (553, 953), 181: (445, 845), 182: (303, 703), 183: (555, 955), 184: (690, 1090), 185: (403, 803), 186: (508, 908)}
transfer nodes departure time: {187: 287, 188: 300, 189: 313, 190: 326, 191: 339, 192: 353}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 200): (19.313207915827967, 96.56603957913984, False)
   (1, 204): (35.05709628591621, 175.28548142958104, False)
   (1, 209): (8.94427190999916, 44.721359549995796, False)
   (1, 212): (29.546573405388315, 147.73286702694156, False)
   (1, 216): (38.47076812334269, 192.35384061671343, False)
   (2, 95): (34.17601498127012, 170.88007490635061, False)
   (2, 197): (17.4928556845359, 87.4642784226795, False)
   (2, 229): (40.311288741492746, 201.55644370746373, False)
   (3, 197): (17.72004514666935, 88.60022573334675, False)
   (3, 227): (34.132096331752024, 170.66048165876012, False)
   (4, 209): (33.24154027718932, 166.20770138594662, False)
   (4, 229): (24.698178070456937, 123.49089035228468, False)
   (5, 191): (9.899494936611665, 49.49747468305833, False)
   (5, 199): (40.0, 200.0, False)
   (5, 202): (34.0147027033899, 170.0735135169495, False)
   (5, 205): (27.65863337187866, 138.2931668593933, False)
   (5, 208): (28.160255680657446, 140.80127840328723, False)
   (5, 222): (25.45584412271571, 127.27922061357856, False)
   (5, 224): (6.708203932499369, 33.54101966249685, False)
   (6, 99): (5.0, 25.0, False)
   (6, 196): (32.01562118716424, 160.0781059358212, False)
   (6, 214): (10.198039027185569, 50.99019513592785, False)
   (6, 220): (14.212670403551895, 71.06335201775947, False)
   (6, 221): (34.438350715445125, 172.19175357722563, False)
   (7, 191): (15.033296378372908, 75.16648189186454, False)
   (7, 193): (35.22782990761707, 176.13914953808535, False)
   (7, 199): (32.984845004941285, 164.92422502470643, False)
   (7, 202): (26.92582403567252, 134.6291201783626, False)
   (7, 205): (29.068883707497267, 145.34441853748635, False)
   (7, 208): (22.825424421026653, 114.12712210513327, False)
   (7, 213): (35.38361202590826, 176.91806012954132, False)
   (7, 222): (14.142135623730951, 70.71067811865476, False)
   (7, 224): (5.385164807134504, 26.92582403567252, False)
   (8, 194): (18.867962264113206, 94.33981132056603, False)
   (9, 194): (26.248809496813376, 131.24404748406687, False)
   (9, 197): (39.11521443121589, 195.57607215607945, False)
   (10, 192): (41.30375285612676, 206.51876428063383, False)
   (10, 217): (20.808652046684813, 104.04326023342406, False)
   (11, 209): (42.05948168962618, 210.2974084481309, False)
   (11, 226): (28.792360097775937, 143.96180048887967, False)
   (11, 229): (34.92849839314596, 174.6424919657298, False)
   (12, 200): (29.017236257093817, 145.08618128546908, False)
   (12, 204): (26.90724809414742, 134.53624047073708, False)
   (12, 209): (20.12461179749811, 100.62305898749054, False)
   (13, 198): (14.212670403551895, 71.06335201775947, False)
   (14, 197): (12.806248474865697, 64.03124237432849, False)
   (14, 227): (38.3275357934736, 191.637678967368, False)
   (15, 194): (41.048751503547585, 205.24375751773792, False)
   (15, 197): (13.416407864998739, 67.0820393249937, False)
   (16, 223): (26.248809496813376, 131.24404748406687, False)
   (16, 230): (19.924858845171276, 99.62429422585637, False)
   (17, 196): (36.345563690772494, 181.72781845386248, False)
   (17, 204): (42.95346318982906, 214.76731594914529, False)
   (17, 214): (37.33630940518894, 186.68154702594472, False)
   (17, 216): (26.870057685088806, 134.35028842544403, False)
   (17, 220): (34.0, 170.0, False)
   (17, 221): (7.211102550927978, 36.05551275463989, False)
   (18, 111): (28.42534080710379, 142.12670403551894, False)
   (18, 196): (8.246211251235321, 41.23105625617661, False)
   (18, 200): (32.984845004941285, 164.92422502470643, False)
   (18, 204): (15.033296378372908, 75.16648189186454, False)
   (18, 209): (42.1070065428546, 210.535032714273, False)
   (18, 216): (24.839484696748443, 124.19742348374221, False)
   (18, 221): (42.1070065428546, 210.535032714273, False)
   (19, 190): (20.223748416156685, 101.11874208078342, False)
   (19, 191): (37.12142238654117, 185.60711193270583, False)
   (19, 202): (42.20189569201838, 211.0094784600919, False)
   (19, 205): (22.20360331117452, 111.01801655587259, False)
   (19, 225): (33.015148038438355, 165.07574019219177, False)
   (19, 226): (37.48332962798263, 187.41664813991315, False)
   (20, 196): (23.194827009486403, 115.97413504743201, False)
   (20, 200): (19.235384061671343, 96.17692030835671, False)
   (20, 204): (2, 10, False)
   (20, 209): (27.073972741361768, 135.36986370680884, False)
   (20, 216): (20.024984394500787, 100.12492197250394, False)
   (21, 203): (39.20459156782532, 196.0229578391266, False)
   (21, 206): (26.92582403567252, 134.6291201783626, False)
   (21, 210): (32.89376840679705, 164.46884203398525, False)
   (21, 218): (7.211102550927978, 36.05551275463989, False)
   (21, 231): (39.56008088970496, 197.80040444852483, False)
   (22, 223): (31.89043743820395, 159.45218719101976, False)
   (22, 230): (23.08679276123039, 115.43396380615195, False)
   (23, 196): (25.942243542145693, 129.71121771072848, False)
   (23, 200): (32.7566787083184, 163.78339354159198, False)
   (23, 204): (28.231188426986208, 141.15594213493102, False)
   (23, 214): (42.0, 210.0, False)
   (23, 216): (13.416407864998739, 67.0820393249937, False)
   (23, 221): (17.029386365926403, 85.14693182963201, False)
   (24, 194): (36.138621999185304, 180.69310999592653, False)
   (24, 197): (22.20360331117452, 111.01801655587259, False)
   (25, 193): (42.95346318982906, 214.76731594914529, False)
   (25, 219): (15.264337522473747, 76.32168761236873, False)
   (26, 223): (33.734255586866, 168.67127793433, False)
   (26, 229): (34.0147027033899, 170.0735135169495, False)
   (26, 230): (8.602325267042627, 43.01162633521314, False)
   (27, 217): (34.92849839314596, 174.6424919657298, False)
   (27, 223): (18.973665961010276, 94.86832980505139, False)
   (27, 230): (28.284271247461902, 141.4213562373095, False)
   (28, 201): (40.01249804748511, 200.06249023742555, False)
   (28, 206): (18.027756377319946, 90.13878188659973, False)
   (28, 210): (18.601075237738275, 93.00537618869137, False)
   (28, 218): (20.0, 100.0, False)
   (28, 231): (33.54101966249684, 167.7050983124842, False)
   (29, 200): (39.698866482558415, 198.49433241279206, False)
   (29, 209): (42.05948168962618, 210.2974084481309, False)
   (29, 211): (14.560219778561036, 72.80109889280519, False)
   (29, 212): (6.0, 30.0, False)
   (30, 197): (28.460498941515414, 142.30249470757707, False)
   (30, 227): (29.068883707497267, 145.34441853748635, False)
   (31, 194): (17.204650534085253, 86.02325267042627, False)
   (31, 223): (28.30194339616981, 141.50971698084905, False)
   (32, 189): (20.518284528683193, 102.59142264341597, False)
   (32, 190): (31.144823004794873, 155.72411502397438, False)
