All relevant information about the map is below:

Total # of nodes: 216
# of robots: 96, robots_origin_location: {195: {55, 87, 15}, 196: {16, 42, 35, 84}, 197: {86, 12, 71, 39}, 198: {1, 18, 19, 21, 30}, 199: {96, 65, 26, 44}, 200: {2, 5, 6, 8, 57}, 201: {46, 78, 27, 22}, 202: {58, 69, 47, 51, 90}, 203: {3, 68, 41, 10, 59}, 204: {24, 75, 79}, 205: {64, 36, 49, 23, 28}, 206: {67, 37, 14, 17, 60}, 207: {77, 52, 62, 91, 94}, 208: {66, 43, 29}, 209: {70, 76, 48, 54, 95}, 210: {82, 20, 85, 89, 31}, 211: {32, 33, 9, 50, 53}, 212: {34, 11, 13, 56, 61}, 213: {88, 74, 4, 38}, 214: {40, 83, 72, 92}, 215: {25, 93, 45, 7}, 216: {80, 73, 81, 63}}
# of requests: 94, request_pairs: [(1, 95), (2, 96), (3, 97), (4, 98), (5, 99), (6, 100), (7, 101), (8, 102), (9, 103), (10, 104), (11, 105), (12, 106), (13, 107), (14, 108), (15, 109), (16, 110), (17, 111), (18, 112), (19, 113), (20, 114), (21, 115), (22, 116), (23, 117), (24, 118), (25, 119), (26, 120), (27, 121), (28, 122), (29, 123), (30, 124), (31, 125), (32, 126), (33, 127), (34, 128), (35, 129), (36, 130), (37, 131), (38, 132), (39, 133), (40, 134), (41, 135), (42, 136), (43, 137), (44, 138), (45, 139), (46, 140), (47, 141), (48, 142), (49, 143), (50, 144), (51, 145), (52, 146), (53, 147), (54, 148), (55, 149), (56, 150), (57, 151), (58, 152), (59, 153), (60, 154), (61, 155), (62, 156), (63, 157), (64, 158), (65, 159), (66, 160), (67, 161), (68, 162), (69, 163), (70, 164), (71, 165), (72, 166), (73, 167), (74, 168), (75, 169), (76, 170), (77, 171), (78, 172), (79, 173), (80, 174), (81, 175), (82, 176), (83, 177), (84, 178), (85, 179), (86, 180), (87, 181), (88, 182), (89, 183), (90, 184), (91, 185), (92, 186), (93, 187), (94, 188)]
# of depots: 22, depot nodes: [195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216]
# of service lines: 1
# of num transfers: 6, service lines mapping: {1: [189, 190, 191, 192, 193, 194]}
public transportation factor: 0.4
map_size: 216
outsourcing cost: 5417
robots max travel time: 406
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 0
transfer service time: 2
request nodes time windows: {1: (198, 598), 2: (173, 573), 3: (132, 532), 4: (306, 706), 5: (273, 673), 6: (192, 592), 7: (231, 631), 8: (166, 566), 9: (211, 611), 10: (287, 687), 11: (76, 476), 12: (204, 604), 13: (329, 729), 14: (256, 656), 15: (213, 613), 16: (162, 562), 17: (190, 590), 18: (269, 669), 19: (136, 536), 20: (248, 648), 21: (202, 602), 22: (183, 583), 23: (96, 496), 24: (119, 519), 25: (182, 582), 26: (319, 719), 27: (164, 564), 28: (195, 595), 29: (93, 493), 30: (147, 547), 31: (42, 442), 32: (314, 714), 33: (220, 620), 34: (223, 623), 35: (293, 693), 36: (20, 420), 37: (217, 617), 38: (193, 593), 39: (252, 652), 40: (275, 675), 41: (95, 495), 42: (314, 714), 43: (211, 611), 44: (297, 697), 45: (306, 706), 46: (295, 695), 47: (280, 680), 48: (26, 426), 49: (124, 524), 50: (71, 471), 51: (121, 521), 52: (283, 683), 53: (208, 608), 54: (180, 580), 55: (173, 573), 56: (227, 627), 57: (256, 656), 58: (224, 624), 59: (237, 637), 60: (326, 726), 61: (250, 650), 62: (323, 723), 63: (315, 715), 64: (69, 469), 65: (260, 660), 66: (51, 451), 67: (167, 567), 68: (88, 488), 69: (52, 452), 70: (227, 627), 71: (137, 537), 72: (156, 556), 73: (235, 635), 74: (113, 513), 75: (108, 508), 76: (172, 572), 77: (108, 508), 78: (50, 450), 79: (111, 511), 80: (290, 690), 81: (190, 590), 82: (110, 510), 83: (128, 528), 84: (144, 544), 85: (149, 549), 86: (59, 459), 87: (309, 709), 88: (176, 576), 89: (275, 675), 90: (110, 510), 91: (328, 728), 92: (108, 508), 93: (166, 566), 94: (139, 539), 95: (401, 801), 96: (352, 752), 97: (507, 907), 98: (365, 765), 99: (487, 887), 100: (544, 944), 101: (573, 973), 102: (414, 814), 103: (543, 943), 104: (533, 933), 105: (280, 680), 106: (415, 815), 107: (590, 990), 108: (613, 1013), 109: (466, 866), 110: (481, 881), 111: (426, 826), 112: (493, 893), 113: (357, 757), 114: (411, 811), 115: (558, 958), 116: (405, 805), 117: (338, 738), 118: (385, 785), 119: (577, 977), 120: (386, 786), 121: (394, 794), 122: (581, 981), 123: (369, 769), 124: (366, 766), 125: (94, 494), 126: (442, 842), 127: (609, 1009), 128: (424, 824), 129: (589, 989), 130: (277, 677), 131: (542, 942), 132: (366, 766), 133: (489, 889), 134: (396, 796), 135: (419, 819), 136: (692, 1092), 137: (387, 787), 138: (680, 1080), 139: (542, 942), 140: (565, 965), 141: (660, 1060), 142: (417, 817), 143: (208, 608), 144: (359, 759), 145: (494, 894), 146: (578, 978), 147: (441, 841), 148: (358, 758), 149: (358, 758), 150: (531, 931), 151: (608, 1008), 152: (597, 997), 153: (427, 827), 154: (473, 873), 155: (396, 796), 156: (451, 851), 157: (441, 841), 158: (116, 516), 159: (558, 958), 160: (220, 620), 161: (467, 867), 162: (394, 794), 163: (403, 803), 164: (569, 969), 165: (468, 868), 166: (439, 839), 167: (487, 887), 168: (307, 707), 169: (388, 788), 170: (566, 966), 171: (404, 804), 172: (245, 645), 173: (292, 692), 174: (380, 780), 175: (414, 814), 176: (472, 872), 177: (401, 801), 178: (330, 730), 179: (411, 811), 180: (169, 569), 181: (631, 1031), 182: (514, 914), 183: (597, 997), 184: (354, 754), 185: (512, 912), 186: (262, 662), 187: (250, 650), 188: (242, 642)}
transfer nodes departure time: {189: 739, 190: 755, 191: 771, 192: 787, 193: 803, 194: 820}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 95): (86.31338250816034, 431.5669125408017, False)
   (1, 189): (139.44532978913278, 697.2266489456639, False)
   (1, 190): (106.7941945987702, 533.970972993851, False)
   (1, 191): (75.0066663703967, 375.0333318519835, False)
   (1, 192): (45.35416188179427, 226.77080940897133, False)
   (1, 193): (26.419689627245813, 132.09844813622905, False)
   (1, 194): (41.677331968349414, 208.38665984174708, False)
   (1, 195): (72.34638899074369, 361.7319449537184, False)
   (1, 196): (33.12099032335839, 165.60495161679196, False)
   (1, 197): (133.00375934536586, 665.0187967268294, False)
   (1, 198): (134.3726162579266, 671.8630812896331, False)
   (1, 199): (33.97057550292606, 169.8528775146303, False)
   (1, 200): (144.34680460612904, 721.7340230306452, False)
   (1, 201): (82.46211251235322, 412.31056256176606, False)
   (1, 202): (37.16180835212409, 185.80904176062046, False)
   (1, 203): (138.19189556555045, 690.9594778277523, False)
   (1, 204): (119.10499569707393, 595.5249784853696, False)
   (1, 205): (46.32493928760188, 231.62469643800938, False)
   (1, 206): (72.80109889280519, 364.0054944640259, False)
   (1, 207): (49.33558553417604, 246.6779276708802, False)
   (1, 208): (94.04786015641186, 470.2393007820593, False)
   (1, 209): (129.76902558006668, 648.8451279003334, False)
   (1, 210): (83.54639429682169, 417.73197148410844, False)
   (1, 211): (44.91102314577124, 224.5551157288562, False)
   (1, 212): (53.71219600798314, 268.5609800399157, False)
   (1, 213): (147.29901561110313, 736.4950780555157, False)
   (1, 214): (138.19551367537227, 690.9775683768613, False)
   (1, 215): (152.7612516314265, 763.8062581571324, False)
   (1, 216): (137.90576492663388, 689.5288246331694, False)
   (2, 96): (66.76076692189807, 333.8038346094903, False)
   (2, 189): (187.77113729218343, 938.8556864609171, False)
   (2, 190): (154.1557653803451, 770.7788269017254, False)
   (2, 191): (120.93386622447825, 604.6693311223912, False)
   (2, 192): (87.72684879784524, 438.6342439892262, False)
   (2, 193): (54.56189146281496, 272.8094573140748, False)
   (2, 194): (18.601075237738275, 93.00537618869137, False)
   (2, 195): (130.83195328359201, 654.1597664179601, False)
   (2, 196): (72.01388754955533, 360.06943774777665, False)
   (2, 197): (190.59118552545917, 952.9559276272959, False)
   (2, 198): (184.70787747142785, 923.5393873571393, False)
   (2, 199): (70.8590149522275, 354.29507476113747, False)
   (2, 200): (183.76343488300387, 918.8171744150193, False)
   (2, 201): (141.65097952361643, 708.2548976180822, False)
   (2, 202): (83.67795408588812, 418.3897704294406, False)
   (2, 203): (196.5807722031837, 982.9038610159184, False)
   (2, 204): (151.8453160291749, 759.2265801458745, False)
   (2, 205): (58.69412236331676, 293.4706118165838, False)
   (2, 206): (127.06297651164952, 635.3148825582476, False)
   (2, 207): (51.0, 255.0, False)
   (2, 208): (153.21879780235844, 766.0939890117922, False)
   (2, 209): (188.48076824970764, 942.4038412485381, False)
   (2, 210): (98.41239759298622, 492.0619879649311, False)
   (2, 211): (38.8329756778952, 194.164878389476, False)
   (2, 212): (14.142135623730951, 70.71067811865476, False)
   (2, 213): (206.45580640902304, 1032.2790320451152, False)
   (2, 214): (193.3416664870767, 966.7083324353836, False)
   (2, 215): (211.482859825566, 1057.41429912783, False)
   (2, 216): (195.97193676646665, 979.8596838323333, False)
   (3, 97): (16.1245154965971, 80.62257748298549, False)
   (3, 189): (122.24974437601087, 611.2487218800543, False)
   (3, 190): (88.63972021616495, 443.19860108082474, False)
   (3, 191): (55.46169849544819, 277.308492477241, False)
   (3, 192): (22.47220505424423, 112.36102527122115, False)
   (3, 193): (12.0, 60.0, False)
   (3, 194): (47.80167361086848, 239.00836805434238, False)
   (3, 195): (76.15773105863909, 380.78865529319546, False)
   (3, 196): (8.06225774829855, 40.311288741492746, False)
   (3, 197): (130.87398519186308, 654.3699259593154, False)
   (3, 198): (119.47384651043926, 597.3692325521963, False)
   (3, 199): (67.94115100585212, 339.7057550292606, False)
   (3, 200): (119.70797801316336, 598.5398900658167, False)
   (3, 201): (91.09335870413386, 455.4667935206693, False)
   (3, 202): (69.63476143421474, 348.1738071710737, False)
   (3, 203): (138.69751259485514, 693.4875629742758, False)
   (3, 204): (90.35485598461214, 451.7742799230607, False)
   (3, 205): (77.82030583337487, 389.10152916687434, False)
   (3, 206): (65.19202405202648, 325.9601202601324, False)
   (3, 207): (26.0, 130.0, False)
   (3, 208): (104.12012293500234, 520.6006146750117, False)
   (3, 209): (141.90842117365693, 709.5421058682847, False)
   (3, 210): (49.57822102496216, 247.8911051248108, False)
   (3, 211): (70.40596565632774, 352.0298282816387, False)
   (3, 212): (53.71219600798314, 268.5609800399157, False)
   (3, 213): (155.6181223379848, 778.090611689924, False)
   (3, 214): (130.38404810405297, 651.9202405202648, False)
   (3, 215): (154.48624534242524, 772.4312267121262, False)
   (3, 216): (137.20058308913997, 686.0029154456998, False)
   (4, 98): (10.0, 50.0, False)
   (4, 189): (59.665735560705194, 298.328677803526, False)
   (4, 190): (59.413803110051795, 297.069015550259, False)
   (4, 191): (74.94664769020693, 374.73323845103465, False)
   (4, 192): (99.56907150315303, 497.84535751576516, False)
   (4, 193): (128.14444974324874, 640.7222487162437, False)
   (4, 194): (161.44348856488452, 807.2174428244226, False)
   (4, 195): (50.60632371551998, 253.0316185775999, False)
   (4, 196): (112.44554237496477, 562.2277118748239, False)
   (4, 197): (10.63014581273465, 53.15072906367325, False)
   (4, 198): (49.040799340956916, 245.20399670478457, False)
   (4, 199): (133.33041663476493, 666.6520831738246, False)
   (4, 200): (93.53608929178085, 467.68044645890427, False)
   (4, 201): (47.67598976424087, 238.37994882120432, False)
   (4, 202): (120.16655108639841, 600.832755431992, False)
   (4, 203): (19.6468827043885, 98.2344135219425, False)
   (4, 204): (104.23531071570709, 521.1765535785354, False)
   (4, 205): (156.3873396410336, 781.936698205168, False)
   (4, 206): (55.47071299343465, 277.35356496717327, False)
   (4, 207): (145.6605643267937, 728.3028216339685, False)
   (4, 208): (45.27692569068709, 226.38462845343543, False)
   (4, 209): (55.97320787662612, 279.8660393831306, False)
