All relevant information about the map is below:

Total # of nodes: 250
# of robots: 89, robots_origin_location: {211: {34, 13}, 212: {38}, 213: {57}, 214: {54}, 215: {72, 67, 36, 69}, 216: {9, 28, 79}, 217: {35, 78, 15}, 218: {40, 73}, 219: {51, 12, 5}, 220: {52, 21, 31}, 221: {56, 3, 76}, 222: {50}, 223: {43, 19}, 224: {41, 2, 4, 39}, 225: {64, 74}, 226: {26, 11, 85, 7}, 227: {10, 44}, 228: {18, 42, 58, 6}, 229: {32, 25, 62}, 230: {59, 22}, 231: {8, 48, 47}, 232: {80}, 233: {89, 53}, 234: {33}, 235: {88, 55}, 236: {83, 46}, 237: {68}, 238: {70}, 239: {82, 77}, 240: {87}, 241: set(), 242: set(), 243: {65, 1, 84, 14}, 244: {86}, 245: {61}, 246: {20, 29, 23}, 247: {17, 60, 30, 49}, 248: {45, 27, 37, 63}, 249: {24, 66}, 250: {16, 81, 75, 71}}
# of requests: 95, request_pairs: [(1, 96), (2, 97), (3, 98), (4, 99), (5, 100), (6, 101), (7, 102), (8, 103), (9, 104), (10, 105), (11, 106), (12, 107), (13, 108), (14, 109), (15, 110), (16, 111), (17, 112), (18, 113), (19, 114), (20, 115), (21, 116), (22, 117), (23, 118), (24, 119), (25, 120), (26, 121), (27, 122), (28, 123), (29, 124), (30, 125), (31, 126), (32, 127), (33, 128), (34, 129), (35, 130), (36, 131), (37, 132), (38, 133), (39, 134), (40, 135), (41, 136), (42, 137), (43, 138), (44, 139), (45, 140), (46, 141), (47, 142), (48, 143), (49, 144), (50, 145), (51, 146), (52, 147), (53, 148), (54, 149), (55, 150), (56, 151), (57, 152), (58, 153), (59, 154), (60, 155), (61, 156), (62, 157), (63, 158), (64, 159), (65, 160), (66, 161), (67, 162), (68, 163), (69, 164), (70, 165), (71, 166), (72, 167), (73, 168), (74, 169), (75, 170), (76, 171), (77, 172), (78, 173), (79, 174), (80, 175), (81, 176), (82, 177), (83, 178), (84, 179), (85, 180), (86, 181), (87, 182), (88, 183), (89, 184), (90, 185), (91, 186), (92, 187), (93, 188), (94, 189), (95, 190)]
# of depots: 40, depot nodes: [211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250]
# of service lines: 2
# of num transfers: 20, service lines mapping: {1: [191, 192, 193, 194, 195, 196, 197, 198, 199, 200], 2: [201, 202, 203, 204, 205, 206, 207, 208, 209, 210]}
public transportation factor: 0.8
map_size: 250
outsourcing cost: 4167
robots max travel time: 505
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 1
transfer service time: 2
request nodes time windows: {1: (201, 601), 2: (66, 466), 3: (254, 654), 4: (236, 636), 5: (105, 505), 6: (228, 628), 7: (420, 820), 8: (418, 818), 9: (98, 498), 10: (224, 624), 11: (130, 530), 12: (260, 660), 13: (411, 811), 14: (358, 758), 15: (269, 669), 16: (172, 572), 17: (129, 529), 18: (369, 769), 19: (208, 608), 20: (143, 543), 21: (303, 703), 22: (260, 660), 23: (118, 518), 24: (391, 791), 25: (271, 671), 26: (183, 583), 27: (402, 802), 28: (336, 736), 29: (78, 478), 30: (404, 804), 31: (133, 533), 32: (230, 630), 33: (137, 537), 34: (360, 760), 35: (68, 468), 36: (145, 545), 37: (82, 482), 38: (420, 820), 39: (295, 695), 40: (184, 584), 41: (245, 645), 42: (333, 733), 43: (355, 755), 44: (160, 560), 45: (359, 759), 46: (349, 749), 47: (116, 516), 48: (111, 511), 49: (252, 652), 50: (307, 707), 51: (317, 717), 52: (60, 460), 53: (417, 817), 54: (154, 554), 55: (67, 467), 56: (317, 717), 57: (72, 472), 58: (352, 752), 59: (116, 516), 60: (158, 558), 61: (278, 678), 62: (77, 477), 63: (229, 629), 64: (120, 520), 65: (213, 613), 66: (132, 532), 67: (237, 637), 68: (125, 525), 69: (156, 556), 70: (251, 651), 71: (321, 721), 72: (157, 557), 73: (80, 480), 74: (422, 822), 75: (236, 636), 76: (404, 804), 77: (402, 802), 78: (204, 604), 79: (68, 468), 80: (234, 634), 81: (205, 605), 82: (363, 763), 83: (81, 481), 84: (91, 491), 85: (417, 817), 86: (373, 773), 87: (63, 463), 88: (335, 735), 89: (418, 818), 90: (422, 822), 91: (136, 536), 92: (380, 780), 93: (177, 577), 94: (382, 782), 95: (218, 618), 96: (565, 965), 97: (414, 814), 98: (644, 1044), 99: (401, 801), 100: (224, 624), 101: (441, 841), 102: (717, 1117), 103: (792, 1192), 104: (490, 890), 105: (366, 766), 106: (436, 836), 107: (564, 964), 108: (625, 1025), 109: (636, 1036), 110: (468, 868), 111: (293, 693), 112: (446, 846), 113: (727, 1127), 114: (376, 776), 115: (489, 889), 116: (580, 980), 117: (637, 1037), 118: (208, 608), 119: (611, 1011), 120: (480, 880), 121: (510, 910), 122: (778, 1178), 123: (708, 1108), 124: (353, 753), 125: (742, 1142), 126: (327, 727), 127: (545, 945), 128: (443, 843), 129: (545, 945), 130: (440, 840), 131: (484, 884), 132: (456, 856), 133: (499, 899), 134: (585, 985), 135: (509, 909), 136: (467, 867), 137: (655, 1055), 138: (625, 1025), 139: (416, 816), 140: (551, 951), 141: (561, 961), 142: (376, 776), 143: (353, 753), 144: (487, 887), 145: (552, 952), 146: (690, 1090), 147: (245, 645), 148: (548, 948), 149: (399, 799), 150: (445, 845), 151: (678, 1078), 152: (234, 634), 153: (651, 1051), 154: (417, 817), 155: (448, 848), 156: (561, 961), 157: (339, 739), 158: (305, 705), 159: (356, 756), 160: (558, 958), 161: (379, 779), 162: (614, 1014), 163: (503, 903), 164: (496, 896), 165: (470, 870), 166: (639, 1039), 167: (480, 880), 168: (179, 579), 169: (649, 1049), 170: (542, 942), 171: (724, 1124), 172: (723, 1123), 173: (455, 855), 174: (413, 813), 175: (481, 881), 176: (586, 986), 177: (510, 910), 178: (309, 709), 179: (468, 868), 180: (755, 1155), 181: (531, 931), 182: (343, 743), 183: (553, 953), 184: (651, 1051), 185: (679, 1079), 186: (368, 768), 187: (533, 933), 188: (540, 940), 189: (647, 1047), 190: (429, 829)}
transfer nodes departure time: {191: 1744, 192: 1760, 193: 1776, 194: 1792, 195: 1808, 196: 1824, 197: 1840, 198: 1856, 199: 1872, 200: 1892, 201: 976, 202: 1003, 203: 1030, 204: 1057, 205: 1084, 206: 1111, 207: 1138, 208: 1165, 209: 1192, 210: 1227}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 96): (173.02600960549256, 865.1300480274629, False)
   (1, 191): (199.06029237394384, 995.3014618697192, False)
   (1, 192): (182.33211456021672, 911.6605728010836, False)
   (1, 193): (165.7015389186232, 828.5076945931161, False)
   (1, 194): (149.20120642943877, 746.0060321471939, False)
   (1, 195): (132.87964479181903, 664.3982239590952, False)
   (1, 196): (116.81181447096864, 584.0590723548432, False)
   (1, 197): (101.11874208078342, 505.5937104039171, False)
   (1, 198): (86.00581375697809, 430.02906878489046, False)
   (1, 199): (71.84010022264724, 359.2005011132362, False)
   (1, 200): (56.0357029044876, 280.178514522438, False)
   (1, 201): (271.01660465735307, 1355.0830232867654, False)
   (1, 202): (241.0082986123092, 1205.0414930615461, False)
   (1, 203): (210.54453210663058, 1052.722660533153, False)
   (1, 204): (180.31361568112376, 901.5680784056188, False)
   (1, 205): (150.95032295427526, 754.7516147713764, False)
   (1, 206): (121.67168939404104, 608.3584469702053, False)
   (1, 207): (93.60555539069249, 468.0277769534624, False)
   (1, 208): (68.26419266350405, 341.32096331752024, False)
   (1, 209): (49.64876634922564, 248.2438317461282, False)
   (1, 210): (50.15974481593781, 250.79872407968907, False)
   (1, 211): (20.0, 100.0, False)
   (1, 212): (110.01818031580054, 550.0909015790027, False)
   (1, 213): (242.63965051079347, 1213.1982525539674, False)
   (1, 214): (46.2709412050371, 231.3547060251855, False)
   (1, 215): (215.1278689523977, 1075.6393447619885, False)
   (1, 216): (204.9780476051033, 1024.8902380255165, False)
   (1, 217): (79.30952023559341, 396.54760117796707, False)
   (1, 218): (156.3873396410336, 781.936698205168, False)
   (1, 219): (57.3149195236284, 286.574597618142, False)
   (1, 220): (199.7223072167954, 998.611536083977, False)
   (1, 221): (182.7922317824256, 913.961158912128, False)
   (1, 222): (44.181444068749045, 220.90722034374522, False)
   (1, 223): (169.14490828872147, 845.7245414436073, False)
   (1, 224): (227.0704736419951, 1135.3523682099756, False)
   (1, 225): (230.3584163862914, 1151.792081931457, False)
   (1, 226): (74.67261881037788, 373.36309405188945, False)
   (1, 227): (44.27188724235731, 221.35943621178654, False)
   (1, 228): (234.15593095200472, 1170.7796547600237, False)
   (1, 229): (40.85339643163099, 204.26698215815495, False)
   (1, 230): (249.94799459087486, 1249.7399729543743, False)
   (1, 231): (182.1647605877712, 910.823802938856, False)
   (1, 232): (93.30058949438637, 466.50294747193186, False)
   (1, 233): (201.15665537088253, 1005.7832768544126, False)
   (1, 234): (178.3704011320264, 891.8520056601319, False)
   (1, 235): (138.75518008348374, 693.7759004174187, False)
   (1, 236): (222.69710370815332, 1113.4855185407666, False)
   (1, 237): (209.78083801910984, 1048.9041900955492, False)
   (1, 238): (186.31693428134759, 931.5846714067379, False)
   (1, 239): (196.57314160383152, 982.8657080191576, False)
   (1, 240): (181.57092278225608, 907.8546139112804, False)
   (1, 241): (221.44976857066254, 1107.2488428533127, False)
   (1, 242): (166.57130605239308, 832.8565302619654, False)
   (1, 243): (123.9112585683803, 619.5562928419015, False)
   (1, 244): (18.384776310850235, 91.92388155425118, False)
   (1, 245): (163.0828010551695, 815.4140052758476, False)
   (1, 246): (94.86832980505137, 474.34164902525686, False)
   (1, 247): (91.0823802938856, 455.411901469428, False)
   (1, 248): (68.6804193347711, 343.4020966738555, False)
   (1, 249): (208.38905921376966, 1041.9452960688482, False)
   (1, 250): (163.6001222493431, 818.0006112467154, False)
   (2, 97): (209.2295390235327, 1046.1476951176635, False)
   (2, 191): (52.0, 260.0, False)
   (2, 192): (68.87670143089025, 344.38350715445125, False)
   (2, 193): (85.88364221433555, 429.4182110716778, False)
   (2, 194): (102.95630140987001, 514.78150704935, False)
   (2, 195): (120.06664815842908, 600.3332407921454, False)
   (2, 196): (137.20058308913997, 686.0029154456998, False)
   (2, 197): (154.3502510525979, 771.7512552629896, False)
   (2, 198): (171.51093259614677, 857.5546629807338, False)
   (2, 199): (188.67962264113208, 943.3981132056604, False)
   (2, 200): (210.83880098312076, 1054.1940049156037, False)
   (2, 201): (35.22782990761707, 176.13914953808535, False)
   (2, 202): (29.5296461204668, 147.648230602334, False)
   (2, 203): (49.49747468305833, 247.48737341529164, False)
   (2, 204): (77.25283166331187, 386.26415831655936, False)
   (2, 205): (106.00471687618433, 530.0235843809216, False)
   (2, 206): (136.34148304899725, 681.7074152449862, False)
   (2, 207): (166.97604618627187, 834.8802309313594, False)
   (2, 208): (197.77006851391846, 988.8503425695923, False)
   (2, 209): (227.8464395157405, 1139.2321975787027, False)
   (2, 210): (268.00186566514793, 1340.0093283257397, False)
   (2, 211): (249.897979183506, 1249.48989591753, False)
   (2, 212): (144.51643505151932, 722.5821752575966, False)
   (2, 213): (13.0, 65.0, False)
   (2, 214): (222.15760171553887, 1110.7880085776944, False)
   (2, 215): (194.0025773024678, 970.012886512339, False)
   (2, 216): (110.16805344563369, 550.8402672281684, False)
   (2, 217): (185.43192821086663, 927.1596410543332, False)
   (2, 218): (232.80034364235806, 1164.0017182117904, False)
   (2, 219): (217.1174797200815, 1085.5873986004074, False)
   (2, 220): (114.6298390472568, 573.149195236284, False)
   (2, 221): (152.0131573252789, 760.0657866263946, False)
   (2, 222): (281.4693589007514, 1407.3467945037569, False)
   (2, 223): (162.3730273167314, 811.865136583657, False)
   (2, 224): (24.331050121192877, 121.65525060596438, False)
   (2, 225): (75.39230729988306, 376.9615364994153, False)
   (2, 226): (296.56196654325043, 1482.8098327162522, False)
   (2, 227): (229.20078533896867, 1146.0039266948434, False)
   (2, 228): (47.53945729601885, 237.69728648009425, False)
   (2, 229): (284.3835438276976, 1421.917719138488, False)
   (2, 230): (36.069377593742864, 180.34688796871433, False)
   (2, 231): (197.0, 985.0, False)
   (2, 232): (220.14540649307222, 1100.7270324653612, False)
   (2, 233): (109.65856099730654, 548.2928049865327, False)
   (2, 234): (83.16850365372699, 415.84251826863493, False)
   (2, 235): (118.53269591129698, 592.663479556485, False)
   (2, 236): (109.11003620199197, 545.5501810099598, False)
   (2, 237): (38.01315561749642, 190.0657780874821, False)
   (2, 238): (204.02205763103166, 1020.1102881551583, False)
   (2, 239): (90.0, 450.0, False)
   (2, 240): (69.31810730249349, 346.59053651246745, False)
   (2, 241): (109.7679370308106, 548.839685154053, False)
   (2, 242): (110.85576214162258, 554.2788107081129, False)
   (2, 243): (200.35218990567586, 1001.7609495283793, False)
   (2, 244): (229.8107917396396, 1149.053958698198, False)
   (2, 245): (90.4267659490264, 452.133829745132, False)
   (2, 246): (277.2814454665151, 1386.4072273325755, False)
   (2, 247): (209.46837470128995, 1047.3418735064497, False)
