All relevant information about the map is below:

Total # of nodes: 246
# of robots: 92, robots_origin_location: {215: {48, 61, 15}, 216: {41, 50, 71}, 217: {40, 51, 52}, 218: {10, 18, 4}, 219: {19, 76, 79}, 220: {90, 85, 30}, 221: {78, 62}, 222: {35, 11, 57}, 223: {53, 54, 47}, 224: {20, 21, 22}, 225: {49, 59, 13}, 226: {64, 42, 45}, 227: {25, 74, 14}, 228: {8, 32, 7}, 229: {43, 5, 6}, 230: {26, 77, 63}, 231: {72, 65, 84}, 232: {34, 60, 68}, 233: {89, 58, 86}, 234: {2, 75, 38}, 235: {66, 67, 37}, 236: {17, 69, 39}, 237: {82, 92}, 238: {12, 70, 55}, 239: {80, 36, 31}, 240: {81, 91, 83}, 241: {24, 3, 29}, 242: {56, 44, 46}, 243: {1, 9, 23}, 244: {73, 33, 88}, 245: {16, 27, 28}, 246: {87}}
# of requests: 95, request_pairs: [(1, 96), (2, 97), (3, 98), (4, 99), (5, 100), (6, 101), (7, 102), (8, 103), (9, 104), (10, 105), (11, 106), (12, 107), (13, 108), (14, 109), (15, 110), (16, 111), (17, 112), (18, 113), (19, 114), (20, 115), (21, 116), (22, 117), (23, 118), (24, 119), (25, 120), (26, 121), (27, 122), (28, 123), (29, 124), (30, 125), (31, 126), (32, 127), (33, 128), (34, 129), (35, 130), (36, 131), (37, 132), (38, 133), (39, 134), (40, 135), (41, 136), (42, 137), (43, 138), (44, 139), (45, 140), (46, 141), (47, 142), (48, 143), (49, 144), (50, 145), (51, 146), (52, 147), (53, 148), (54, 149), (55, 150), (56, 151), (57, 152), (58, 153), (59, 154), (60, 155), (61, 156), (62, 157), (63, 158), (64, 159), (65, 160), (66, 161), (67, 162), (68, 163), (69, 164), (70, 165), (71, 166), (72, 167), (73, 168), (74, 169), (75, 170), (76, 171), (77, 172), (78, 173), (79, 174), (80, 175), (81, 176), (82, 177), (83, 178), (84, 179), (85, 180), (86, 181), (87, 182), (88, 183), (89, 184), (90, 185), (91, 186), (92, 187), (93, 188), (94, 189), (95, 190)]
# of depots: 32, depot nodes: [215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246]
# of service lines: 9
# of num transfers: 24, service lines mapping: {1: [191, 192, 193], 2: [194, 195, 196], 3: [197, 198, 199], 4: [200, 201, 202], 5: [203, 204, 205], 6: [206, 207, 208], 7: [209, 210, 211], 8: [212, 213, 214], 9: []}
public transportation factor: 0.2
map_size: 246
outsourcing cost: 2917
robots max travel time: 868
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 10
transfer service time: 2
request nodes time windows: {1: (298, 698), 2: (261, 661), 3: (290, 690), 4: (327, 727), 5: (317, 717), 6: (410, 810), 7: (206, 606), 8: (47, 447), 9: (387, 787), 10: (365, 765), 11: (377, 777), 12: (344, 744), 13: (150, 550), 14: (332, 732), 15: (381, 781), 16: (83, 483), 17: (411, 811), 18: (326, 726), 19: (359, 759), 20: (360, 760), 21: (358, 758), 22: (260, 660), 23: (244, 644), 24: (187, 587), 25: (160, 560), 26: (53, 453), 27: (165, 565), 28: (104, 504), 29: (51, 451), 30: (261, 661), 31: (182, 582), 32: (352, 752), 33: (295, 695), 34: (273, 673), 35: (312, 712), 36: (277, 677), 37: (346, 746), 38: (341, 741), 39: (159, 559), 40: (304, 704), 41: (192, 592), 42: (375, 775), 43: (190, 590), 44: (108, 508), 45: (303, 703), 46: (200, 600), 47: (194, 594), 48: (155, 555), 49: (272, 672), 50: (203, 603), 51: (310, 710), 52: (409, 809), 53: (109, 509), 54: (296, 696), 55: (243, 643), 56: (240, 640), 57: (111, 511), 58: (156, 556), 59: (50, 450), 60: (228, 628), 61: (95, 495), 62: (108, 508), 63: (145, 545), 64: (220, 620), 65: (359, 759), 66: (350, 750), 67: (146, 546), 68: (188, 588), 69: (241, 641), 70: (296, 696), 71: (84, 484), 72: (396, 796), 73: (365, 765), 74: (380, 780), 75: (356, 756), 76: (290, 690), 77: (219, 619), 78: (88, 488), 79: (278, 678), 80: (403, 803), 81: (363, 763), 82: (94, 494), 83: (224, 624), 84: (98, 498), 85: (254, 654), 86: (286, 686), 87: (389, 789), 88: (273, 673), 89: (171, 571), 90: (315, 715), 91: (242, 642), 92: (96, 496), 93: (235, 635), 94: (257, 657), 95: (366, 766), 96: (645, 1045), 97: (412, 812), 98: (620, 1020), 99: (501, 901), 100: (636, 1036), 101: (700, 1100), 102: (444, 844), 103: (428, 828), 104: (778, 1178), 105: (765, 1165), 106: (775, 1175), 107: (433, 833), 108: (426, 826), 109: (721, 1121), 110: (655, 1055), 111: (458, 858), 112: (675, 1075), 113: (463, 863), 114: (535, 935), 115: (739, 1139), 116: (629, 1029), 117: (473, 873), 118: (594, 994), 119: (430, 830), 120: (328, 728), 121: (330, 730), 122: (522, 922), 123: (342, 742), 124: (389, 789), 125: (614, 1014), 126: (518, 918), 127: (586, 986), 128: (641, 1041), 129: (564, 964), 130: (688, 1088), 131: (569, 969), 132: (583, 983), 133: (694, 1094), 134: (411, 811), 135: (534, 934), 136: (369, 769), 137: (775, 1175), 138: (405, 805), 139: (454, 854), 140: (637, 1037), 141: (525, 925), 142: (558, 958), 143: (401, 801), 144: (623, 1023), 145: (442, 842), 146: (585, 985), 147: (609, 1009), 148: (307, 707), 149: (694, 1094), 150: (511, 911), 151: (386, 786), 152: (346, 746), 153: (455, 855), 154: (264, 664), 155: (598, 998), 156: (325, 725), 157: (220, 620), 158: (533, 933), 159: (331, 731), 160: (562, 962), 161: (578, 978), 162: (449, 849), 163: (419, 819), 164: (640, 1040), 165: (488, 888), 166: (389, 789), 167: (479, 879), 168: (640, 1040), 169: (562, 962), 170: (733, 1133), 171: (650, 1050), 172: (511, 911), 173: (429, 829), 174: (446, 846), 175: (672, 1072), 176: (728, 1128), 177: (337, 737), 178: (608, 1008), 179: (337, 737), 180: (543, 943), 181: (593, 993), 182: (746, 1146), 183: (644, 1044), 184: (486, 886), 185: (593, 993), 186: (541, 941), 187: (393, 793), 188: (475, 875), 189: (538, 938), 190: (697, 1097)}
transfer nodes departure time: {191: 428, 192: 448, 193: 469, 194: 31, 195: 53, 196: 76, 197: 1308, 198: 1326, 199: 1344, 200: 1903, 201: 1933, 202: 1963, 203: 470, 204: 488, 205: 506, 206: 821, 207: 843, 208: 865, 209: 1321, 210: 1342, 211: 1364, 212: 2029, 213: 2048, 214: 2068}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 96): (172.10461934532728, 860.5230967266364, False)
   (1, 193): (119.70797801316336, 598.5398900658167, False)
   (1, 197): (188.1754500459611, 940.8772502298054, False)
   (1, 198): (113.0, 565.0, False)
   (1, 199): (42.5440947723653, 212.7204738618265, False)
   (1, 200): (176.63804799646084, 883.1902399823042, False)
   (1, 201): (104.7377677822093, 523.6888389110466, False)
   (1, 202): (167.5857989210303, 837.9289946051515, False)
   (1, 204): (166.20770138594662, 831.0385069297331, False)
   (1, 205): (112.0044641967453, 560.0223209837266, False)
   (1, 206): (204.55317157159897, 1022.7658578579949, False)
   (1, 207): (133.06013678032951, 665.3006839016475, False)
   (1, 208): (108.90362712049586, 544.5181356024793, False)
   (1, 209): (223.00672635595546, 1115.0336317797774, False)
   (1, 210): (136.8575902169843, 684.2879510849216, False)
   (1, 211): (72.44998274671983, 362.2499137335991, False)
   (1, 212): (223.39650847763937, 1116.9825423881969, False)
   (1, 213): (191.94269978303421, 959.713498915171, False)
   (1, 214): (195.25624189766637, 976.2812094883318, False)
   (1, 215): (57.982756057296896, 289.9137802864845, False)
   (1, 216): (115.7410903698423, 578.7054518492115, False)
   (1, 217): (205.8834621818858, 1029.417310909429, False)
   (1, 218): (17.72004514666935, 88.60022573334675, False)
   (1, 219): (190.3943276465977, 951.9716382329885, False)
   (1, 220): (117.98728745080972, 589.9364372540485, False)
   (1, 221): (37.656340767525464, 188.28170383762733, False)
   (1, 222): (14.560219778561036, 72.80109889280519, False)
   (1, 223): (70.3420215802759, 351.7101079013795, False)
   (1, 224): (174.4161689752415, 872.0808448762075, False)
   (1, 225): (206.39040675380238, 1031.952033769012, False)
   (1, 226): (121.00413216084813, 605.0206608042406, False)
   (1, 227): (165.22106403240477, 826.1053201620239, False)
   (1, 228): (148.94629904767692, 744.7314952383846, False)
   (1, 229): (192.52012881774206, 962.6006440887103, False)
   (1, 230): (117.34564329364768, 586.7282164682384, False)
   (1, 231): (150.56227947264878, 752.8113973632439, False)
   (1, 232): (20.615528128088304, 103.07764064044152, False)
   (1, 233): (65.7875368135941, 328.9376840679705, False)
   (1, 234): (57.28001396647874, 286.4000698323937, False)
   (1, 235): (104.78549517943789, 523.9274758971894, False)
   (1, 236): (209.46837470128995, 1047.3418735064497, False)
   (1, 237): (154.1590088188167, 770.7950440940834, False)
   (1, 238): (167.2602762164406, 836.301381082203, False)
   (1, 239): (204.94145505485218, 1024.7072752742608, False)
   (1, 240): (162.8066337714775, 814.0331688573874, False)
   (1, 241): (140.6840431605518, 703.420215802759, False)
   (1, 242): (31.38470965295043, 156.92354826475216, False)
   (1, 243): (195.1640335717624, 975.8201678588119, False)
   (1, 244): (239.70815588961506, 1198.5407794480752, False)
   (1, 245): (107.70329614269008, 538.5164807134504, False)
   (1, 246): (111.87939935484101, 559.396996774205, False)
   (2, 97): (78.77182237323191, 393.85911186615954, False)
   (2, 191): (40.22437072223753, 201.12185361118765, False)
   (2, 192): (62.12889826803627, 310.64449134018133, False)
   (2, 193): (152.2366578718805, 761.1832893594026, False)
   (2, 197): (167.72596698186004, 838.6298349093001, False)
   (2, 198): (153.37861650177967, 766.8930825088984, False)
   (2, 199): (176.7823520603796, 883.911760301898, False)
   (2, 200): (169.42549985170473, 847.1274992585236, False)
   (2, 201): (113.45483682946268, 567.2741841473133, False)
   (2, 202): (187.18172987767795, 935.9086493883898, False)
   (2, 203): (36.71511950137164, 183.5755975068582, False)
   (2, 204): (52.43090691567332, 262.15453457836657, False)
   (2, 205): (126.19429464123962, 630.9714732061981, False)
   (2, 206): (72.47068372797375, 362.3534186398688, False)
   (2, 207): (85.58621384311844, 427.93106921559223, False)
   (2, 208): (168.24387061643583, 841.2193530821792, False)
   (2, 209): (28.319604517012593, 141.59802258506295, False)
   (2, 210): (100.65783625729296, 503.2891812864648, False)
   (2, 211): (194.74342094150447, 973.7171047075224, False)
   (2, 212): (48.16637831516918, 240.83189157584593, False)
   (2, 213): (42.190046219457976, 210.95023109728987, False)
   (2, 214): (126.28935030318273, 631.4467515159137, False)
   (2, 215): (276.06520968785617, 1380.3260484392808, False)
   (2, 216): (202.05444810743464, 1010.2722405371732, False)
   (2, 217): (13.92838827718412, 69.6419413859206, False)
   (2, 218): (234.30749027719963, 1171.537451385998, False)
   (2, 219): (102.39140588936164, 511.9570294468082, False)
   (2, 220): (192.16919628285902, 960.8459814142951, False)
   (2, 221): (249.0461804565571, 1245.2309022827856, False)
   (2, 222): (205.1389772812568, 1025.694886406284, False)
   (2, 223): (188.66372200293304, 943.3186100146652, False)
   (2, 224): (184.13310403075272, 920.6655201537636, False)
   (2, 225): (35.73513677041127, 178.67568385205635, False)
   (2, 226): (163.76812876747417, 818.8406438373709, False)
   (2, 227): (118.0, 590.0, False)
   (2, 228): (211.03791128610044, 1055.1895564305023, False)
   (2, 229): (33.13608305156178, 165.68041525780893, False)
   (2, 230): (104.01922899156675, 520.0961449578338, False)
   (2, 231): (132.6386067478093, 663.1930337390464, False)
   (2, 232): (236.93247983339052, 1184.6623991669526, False)
   (2, 233): (195.1665955024066, 975.832977512033, False)
   (2, 234): (168.24089871371942, 841.2044935685971, False)
   (2, 235): (198.64037857394453, 993.2018928697227, False)
   (2, 236): (72.91776189653656, 364.5888094826828, False)
   (2, 237): (138.2931668593933, 691.4658342969665, False)
   (2, 238): (89.1403387922662, 445.70169396133105, False)
   (2, 239): (42.05948168962618, 210.2974084481309, False)
   (2, 240): (110.07270324653611, 550.3635162326806, False)
   (2, 241): (127.3184982632139, 636.5924913160695, False)
   (2, 242): (206.4097865896867, 1032.0489329484335, False)
   (2, 243): (203.5018427434995, 1017.5092137174976, False)
   (2, 244): (21.95449840010015, 109.77249200050075, False)
   (2, 245): (131.03434664239754, 655.1717332119877, False)
   (2, 246): (180.23595645708434, 901.1797822854217, False)
   (3, 98): (111.03603018840326, 555.1801509420163, False)
   (3, 192): (123.06502346320826, 615.3251173160413, False)
   (3, 193): (31.89043743820395, 159.45218719101976, False)
   (3, 197): (231.00865784641059, 1155.043289232053, False)
   (3, 198): (158.05062480104277, 790.2531240052139, False)
   (3, 199): (90.7358804442873, 453.67940222143653, False)
   (3, 200): (222.44100341438852, 1112.2050170719426, False)
   (3, 201): (92.04890004774636, 460.2445002387318, False)
   (3, 202): (69.05070600652827, 345.2535300326414, False)
   (3, 204): (132.09844813622905, 660.4922406811453, False)
   (3, 205): (55.226805085936306, 276.1340254296815, False)
   (3, 206): (136.60527076214885, 683.0263538107442, False)
   (3, 207): (115.97413504743201, 579.8706752371601, False)
   (3, 208): (163.41664541900252, 817.0832270950126, False)
   (3, 209): (197.0, 985.0, False)
   (3, 210): (145.7840869230932, 728.9204346154661, False)
   (3, 211): (146.18481453283715, 730.9240726641858, False)
   (3, 212): (206.29348026537338, 1031.4674013268668, False)
   (3, 213): (141.50971698084905, 707.5485849042452, False)
   (3, 214): (107.70329614269008, 538.5164807134504, False)
   (3, 215): (142.20056258679148, 711.0028129339573, False)
   (3, 216): (27.730849247724095, 138.6542462386205, False)
   (3, 217): (172.38619434281853, 861.9309717140926, False)
   (3, 218): (103.1746092796091, 515.8730463980455, False)
   (3, 219): (203.03940504246953, 1015.1970252123476, False)
