All relevant information about the map is below:

Total # of nodes: 228
# of robots: 96, robots_origin_location: {206: {2}, 207: {37, 73, 12, 16, 92}, 208: {35, 4, 36, 49, 82, 27}, 209: {80, 10, 55}, 210: {32, 21, 13, 23}, 211: {61, 5, 38, 15}, 212: {64, 72, 74, 46, 78, 56}, 213: {34, 69, 8, 45, 53, 22}, 214: {66, 20, 84, 87, 88}, 215: {90, 29}, 216: {39, 57, 91, 93, 94, 95}, 217: {1, 43, 17, 54, 31}, 218: {67, 7, 9, 41, 11, 26}, 219: {19, 6}, 220: {40, 48, 85}, 221: {89, 33, 50}, 222: {18, 44, 52}, 223: {75, 59, 68}, 224: {96, 47, 51, 30, 62}, 225: {76, 79, 24, 28, 63}, 226: {86, 77, 14}, 227: {65, 71, 42, 81, 83, 60}, 228: {25, 58, 3, 70}}
# of requests: 99, request_pairs: [(1, 100), (2, 101), (3, 102), (4, 103), (5, 104), (6, 105), (7, 106), (8, 107), (9, 108), (10, 109), (11, 110), (12, 111), (13, 112), (14, 113), (15, 114), (16, 115), (17, 116), (18, 117), (19, 118), (20, 119), (21, 120), (22, 121), (23, 122), (24, 123), (25, 124), (26, 125), (27, 126), (28, 127), (29, 128), (30, 129), (31, 130), (32, 131), (33, 132), (34, 133), (35, 134), (36, 135), (37, 136), (38, 137), (39, 138), (40, 139), (41, 140), (42, 141), (43, 142), (44, 143), (45, 144), (46, 145), (47, 146), (48, 147), (49, 148), (50, 149), (51, 150), (52, 151), (53, 152), (54, 153), (55, 154), (56, 155), (57, 156), (58, 157), (59, 158), (60, 159), (61, 160), (62, 161), (63, 162), (64, 163), (65, 164), (66, 165), (67, 166), (68, 167), (69, 168), (70, 169), (71, 170), (72, 171), (73, 172), (74, 173), (75, 174), (76, 175), (77, 176), (78, 177), (79, 178), (80, 179), (81, 180), (82, 181), (83, 182), (84, 183), (85, 184), (86, 185), (87, 186), (88, 187), (89, 188), (90, 189), (91, 190), (92, 191), (93, 192), (94, 193), (95, 194), (96, 195), (97, 196), (98, 197), (99, 198)]
# of depots: 23, depot nodes: [206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228]
# of service lines: 1
# of num transfers: 7, service lines mapping: {1: [199, 200, 201, 202, 203, 204, 205]}
public transportation factor: 0.6
map_size: 228
outsourcing cost: 2084
robots max travel time: 1034
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (152, 552), 2: (277, 677), 3: (176, 576), 4: (293, 693), 5: (191, 591), 6: (38, 438), 7: (197, 597), 8: (328, 728), 9: (56, 456), 10: (173, 573), 11: (76, 476), 12: (310, 710), 13: (313, 713), 14: (289, 689), 15: (331, 731), 16: (201, 601), 17: (143, 543), 18: (326, 726), 19: (198, 598), 20: (139, 539), 21: (155, 555), 22: (222, 622), 23: (102, 502), 24: (220, 620), 25: (318, 718), 26: (207, 607), 27: (69, 469), 28: (171, 571), 29: (132, 532), 30: (153, 553), 31: (320, 720), 32: (50, 450), 33: (239, 639), 34: (215, 615), 35: (136, 536), 36: (339, 739), 37: (90, 490), 38: (88, 488), 39: (358, 758), 40: (197, 597), 41: (156, 556), 42: (41, 441), 43: (127, 527), 44: (79, 479), 45: (138, 538), 46: (228, 628), 47: (257, 657), 48: (148, 548), 49: (102, 502), 50: (152, 552), 51: (63, 463), 52: (247, 647), 53: (163, 563), 54: (328, 728), 55: (135, 535), 56: (234, 634), 57: (340, 740), 58: (286, 686), 59: (250, 650), 60: (162, 562), 61: (224, 624), 62: (369, 769), 63: (189, 589), 64: (305, 705), 65: (234, 634), 66: (133, 533), 67: (275, 675), 68: (153, 553), 69: (246, 646), 70: (136, 536), 71: (348, 748), 72: (247, 647), 73: (337, 737), 74: (220, 620), 75: (243, 643), 76: (170, 570), 77: (189, 589), 78: (39, 439), 79: (185, 585), 80: (226, 626), 81: (154, 554), 82: (327, 727), 83: (184, 584), 84: (42, 442), 85: (37, 437), 86: (142, 542), 87: (343, 743), 88: (104, 504), 89: (71, 471), 90: (283, 683), 91: (155, 555), 92: (55, 455), 93: (181, 581), 94: (364, 764), 95: (124, 524), 96: (302, 702), 97: (35, 435), 98: (220, 620), 99: (182, 582), 100: (507, 907), 101: (579, 979), 102: (548, 948), 103: (588, 988), 104: (586, 986), 105: (320, 720), 106: (515, 915), 107: (607, 1007), 108: (322, 722), 109: (362, 762), 110: (458, 858), 111: (475, 875), 112: (543, 943), 113: (502, 902), 114: (552, 952), 115: (431, 831), 116: (286, 686), 117: (692, 1092), 118: (484, 884), 119: (272, 672), 120: (455, 855), 121: (368, 768), 122: (194, 594), 123: (463, 863), 124: (592, 992), 125: (313, 713), 126: (344, 744), 127: (487, 887), 128: (341, 741), 129: (482, 882), 130: (545, 945), 131: (383, 783), 132: (529, 929), 133: (344, 744), 134: (420, 820), 135: (552, 952), 136: (289, 689), 137: (206, 606), 138: (697, 1097), 139: (402, 802), 140: (406, 806), 141: (175, 575), 142: (441, 841), 143: (271, 671), 144: (486, 886), 145: (384, 784), 146: (559, 959), 147: (276, 676), 148: (438, 838), 149: (458, 858), 150: (216, 616), 151: (499, 899), 152: (502, 902), 153: (530, 930), 154: (422, 822), 155: (469, 869), 156: (576, 976), 157: (681, 1081), 158: (529, 929), 159: (459, 859), 160: (544, 944), 161: (724, 1124), 162: (347, 747), 163: (572, 972), 164: (512, 912), 165: (336, 736), 166: (674, 1074), 167: (355, 755), 168: (620, 1020), 169: (245, 645), 170: (603, 1003), 171: (539, 939), 172: (511, 911), 173: (503, 903), 174: (377, 777), 175: (436, 836), 176: (318, 718), 177: (248, 648), 178: (549, 949), 179: (613, 1013), 180: (495, 895), 181: (641, 1041), 182: (385, 785), 183: (282, 682), 184: (232, 632), 185: (423, 823), 186: (474, 874), 187: (272, 672), 188: (433, 833), 189: (623, 1023), 190: (325, 725), 191: (260, 660), 192: (555, 955), 193: (672, 1072), 194: (374, 774), 195: (648, 1048), 196: (350, 750), 197: (495, 895), 198: (390, 790)}
transfer nodes departure time: {199: 111, 200: 131, 201: 151, 202: 171, 203: 191, 204: 211, 205: 234}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 100): (99.18165152889924, 495.9082576444962, False)
   (1, 206): (116.10340218959993, 580.5170109479997, False)
   (1, 207): (17.029386365926403, 85.14693182963201, False)
   (1, 208): (72.11102550927978, 360.5551275463989, False)
   (1, 209): (181.12150617748296, 905.6075308874148, False)
   (1, 210): (114.10959644131601, 570.5479822065801, False)
   (1, 211): (185.3887806745597, 926.9439033727986, False)
   (1, 212): (57.38466694161429, 286.9233347080715, False)
   (1, 213): (154.983870128475, 774.919350642375, False)
   (1, 214): (153.1012736720371, 765.5063683601855, False)
   (1, 215): (201.81674856165927, 1009.0837428082964, False)
   (1, 216): (86.28441342444185, 431.4220671222092, False)
   (1, 217): (178.94133116750865, 894.7066558375433, False)
   (1, 218): (170.01764614298128, 850.0882307149063, False)
   (1, 219): (192.26024029944412, 961.3012014972206, False)
   (1, 220): (45.617978911828175, 228.08989455914087, False)
   (1, 221): (191.41577782408638, 957.0788891204319, False)
   (1, 222): (63.89053137985315, 319.4526568992658, False)
   (1, 223): (113.63538181394033, 568.1769090697017, False)
   (1, 224): (112.37882362794157, 561.8941181397079, False)
   (1, 225): (163.99085340347492, 819.9542670173746, False)
   (1, 226): (94.14881836751856, 470.7440918375928, False)
   (1, 227): (106.88779163215975, 534.4389581607987, False)
   (1, 228): (206.7873303662485, 1033.9366518312427, False)
   (2, 101): (100.43903623591775, 502.19518117958876, False)
   (2, 206): (87.0, 435.0, False)
   (2, 207): (205.84703058339218, 1029.235152916961, False)
   (2, 208): (139.84634424968, 699.2317212483999, False)
   (2, 209): (58.463663928973865, 292.31831964486935, False)
   (2, 210): (147.220922426128, 736.10461213064, False)
   (2, 211): (131.04197800704932, 655.2098900352466, False)
   (2, 212): (229.36869882353173, 1146.8434941176586, False)
   (2, 213): (103.4842983258813, 517.4214916294065, False)
   (2, 214): (97.18538984847466, 485.92694924237327, False)
   (2, 215): (90.4267659490264, 452.133829745132, False)
   (2, 216): (151.22169156572744, 756.1084578286373, False)
   (2, 217): (76.84399781375251, 384.2199890687625, False)
   (2, 218): (179.71366113904642, 898.5683056952321, False)
   (2, 219): (135.02962637880623, 675.1481318940312, False)
   (2, 220): (194.85892332659543, 974.2946166329772, False)
   (2, 221): (109.20164833920778, 546.0082416960389, False)
   (2, 222): (237.69938998659632, 1188.4969499329816, False)
   (2, 223): (106.89246933250256, 534.4623466625128, False)
   (2, 224): (102.15674231297707, 510.7837115648854, False)
   (2, 225): (168.86088949191284, 844.3044474595642, False)
   (2, 226): (131.04579352272242, 655.2289676136121, False)
   (2, 227): (164.01219466856725, 820.0609733428362, False)
   (2, 228): (13.038404810405298, 65.1920240520265, False)
   (3, 102): (153.56106277308712, 767.8053138654356, False)
   (3, 206): (114.76933388322858, 573.846669416143, False)
   (3, 207): (232.4521456128121, 1162.2607280640605, False)
   (3, 208): (168.6297719858507, 843.1488599292536, False)
   (3, 209): (83.0, 415.0, False)
   (3, 210): (175.6843760839307, 878.4218804196535, False)
   (3, 211): (153.73028328862208, 768.6514164431104, False)
   (3, 212): (258.24213443975407, 1291.2106721987702, False)
   (3, 213): (117.09824934643558, 585.4912467321778, False)
   (3, 214): (111.80339887498948, 559.0169943749474, False)
   (3, 215): (109.48059188732951, 547.4029594366475, False)
   (3, 216): (173.5194513592064, 867.5972567960321, False)
   (3, 217): (86.02325267042627, 430.11626335213134, False)
   (3, 218): (205.0219500443794, 1025.109750221897, False)
   (3, 219): (156.8948692596415, 784.4743462982075, False)
   (3, 220): (219.66565503054863, 1098.3282751527431, False)
   (3, 221): (130.61393493804556, 653.0696746902278, False)
   (3, 222): (266.59707425251315, 1332.9853712625659, False)
   (3, 223): (129.29423807734048, 646.4711903867023, False)
   (3, 224): (125.7179382586272, 628.589691293136, False)
   (3, 225): (180.00277775634464, 900.0138887817232, False)
   (3, 226): (160.11246047700348, 800.5623023850173, False)
   (3, 227): (192.62658175859323, 963.1329087929662, False)
   (3, 228): (33.06055050963308, 165.30275254816542, False)
   (4, 103): (181.61773041198373, 908.0886520599187, False)
   (4, 206): (76.55063683601855, 382.7531841800928, False)
   (4, 207): (194.65353837010002, 973.2676918505001, False)
   (4, 208): (120.41594578792295, 602.0797289396147, False)
   (4, 209): (23.345235059857504, 116.72617529928752, False)
   (4, 210): (117.5457357797381, 587.7286788986905, False)
   (4, 211): (95.88013350011565, 479.40066750057827, False)
   (4, 212): (207.7137453323684, 1038.568726661842, False)
   (4, 213): (120.33287165193059, 601.664358259653, False)
   (4, 214): (113.29607230614837, 566.4803615307419, False)
   (4, 215): (57.0087712549569, 285.0438562747845, False)
   (4, 216): (152.0690632574555, 760.3453162872775, False)
   (4, 217): (100.43903623591775, 502.19518117958876, False)
   (4, 218): (145.16886718577092, 725.8443359288547, False)
   (4, 219): (99.9599919967984, 499.799959983992, False)
   (4, 220): (188.8200201249857, 944.1001006249285, False)
   (4, 221): (74.32361670424818, 371.6180835212409, False)
   (4, 222): (215.74522010927612, 1078.7261005463806, False)
   (4, 223): (110.00454536063498, 550.0227268031749, False)
   (4, 224): (103.1746092796091, 515.8730463980455, False)
   (4, 225): (185.62596801094398, 928.1298400547199, False)
   (4, 226): (106.82696288858914, 534.1348144429456, False)
   (4, 227): (134.8517704741024, 674.258852370512, False)
   (4, 228): (27.073972741361768, 135.36986370680884, False)
   (5, 104): (207.23416706711276, 1036.1708353355639, False)
   (5, 206): (123.03657992645927, 615.1828996322963, False)
   (5, 207): (111.13955191559843, 555.6977595779922, False)
   (5, 208): (70.61161377563892, 353.0580688781946, False)
   (5, 209): (148.71785366928881, 743.5892683464441, False)
   (5, 210): (50.60632371551998, 253.0316185775999, False)
   (5, 211): (116.84605256490268, 584.2302628245134, False)
   (5, 212): (61.5223536610881, 307.6117683054405, False)
   (5, 213): (196.51463049859672, 982.5731524929836, False)
   (5, 214): (191.52545522723605, 957.6272761361803, False)
   (5, 215): (151.38031576133008, 756.9015788066504, False)
   (5, 216): (151.44966160411187, 757.2483080205593, False)
   (5, 217): (207.1183236703117, 1035.5916183515585, False)
   (5, 218): (82.09750300709517, 410.48751503547584, False)
   (5, 219): (122.09013064126027, 610.4506532063014, False)
   (5, 220): (134.18271125595876, 670.9135562797939, False)
   (5, 221): (132.61221663180206, 663.0610831590103, False)
   (5, 222): (65.96969000988257, 329.84845004941286, False)
   (5, 223): (152.08221460775746, 760.4110730387873, False)
   (5, 224): (145.71547618561317, 728.5773809280658, False)
   (5, 225): (231.22499864850255, 1156.1249932425128, False)
   (5, 226): (65.62011886609167, 328.10059433045836, False)
   (5, 227): (33.301651610693426, 166.50825805346713, False)
   (5, 228): (192.1067411623028, 960.533705811514, False)
   (6, 105): (208.03124765284662, 1040.156238264233, False)
   (6, 203): (119.82069938036582, 599.1034969018291, False)
   (6, 204): (98.18350166906862, 490.9175083453431, False)
   (6, 205): (77.62087348130012, 388.1043674065006, False)
   (6, 206): (99.24716620639605, 496.23583103198024, False)
   (6, 207): (206.8912757948, 1034.456378974, False)
   (6, 208): (126.08727136392476, 630.4363568196238, False)
