origin,dest,depart,duration,is_bus,origin_id,dest_id
630,633,4679,61,TRUE,401,402
630,634,4679,180,TRUE,401,403
630,635,4679,241,TRUE,401,404
630,636,4679,360,TRUE,401,405
630,637,4679,360,TRUE,401,406
630,638,4679,481,TRUE,401,407
630,640,4679,481,TRUE,401,408
630,641,4679,962,TRUE,401,409
631,634,4740,119,TRUE,402,403
631,635,4740,180,TRUE,402,404
631,636,4740,299,TRUE,402,405
631,637,4740,299,TRUE,402,406
631,638,4740,420,TRUE,402,407
631,640,4740,420,TRUE,402,408
631,641,4740,840,TRUE,402,409
632,635,4859,61,TRUE,403,404
632,636,4859,180,TRUE,403,405
632,637,4859,180,TRUE,403,406
632,638,4859,301,TRUE,403,407
632,640,4859,301,TRUE,403,408
632,641,4859,602,TRUE,403,409
633,636,4920,119,TRUE,404,405
633,637,4920,119,TRUE,404,406
633,638,4920,240,TRUE,404,407
633,640,4920,240,TRUE,404,408
633,641,4920,480,TRUE,404,409
634,637,5039,330,TRUE,405,406
634,638,5039,121,TRUE,405,407
634,640,5039,121,TRUE,405,408
634,641,5039,242,TRUE,405,409
635,638,5039,121,TRUE,406,407
635,640,5039,121,TRUE,406,408
635,641,5039,242,TRUE,406,409
636,640,5160,330,TRUE,407,408
636,641,5160,330,TRUE,407,409
637,642,5160,330,TRUE,408,409
639,642,3959,121,TRUE,410,411
639,643,3959,180,TRUE,410,412
639,644,3959,241,TRUE,410,413
639,645,3959,301,TRUE,410,414
639,646,3959,361,TRUE,410,415
639,647,3959,481,TRUE,410,416
639,649,3959,541,TRUE,410,417
639,650,3959,1082,TRUE,410,418
640,643,4080,59,TRUE,411,412
640,644,4080,120,TRUE,411,413
640,645,4080,180,TRUE,411,414
640,646,4080,240,TRUE,411,415
640,647,4080,360,TRUE,411,416
640,649,4080,420,TRUE,411,417
640,650,4080,840,TRUE,411,418
641,644,4139,61,TRUE,412,413
641,645,4139,121,TRUE,412,414
641,646,4139,181,TRUE,412,415
641,647,4139,301,TRUE,412,416
641,649,4139,361,TRUE,412,417
641,650,4139,722,TRUE,412,418
642,645,4200,60,TRUE,413,414
642,646,4200,120,TRUE,413,415
642,647,4200,240,TRUE,413,416
642,649,4200,300,TRUE,413,417
642,650,4200,600,TRUE,413,418
643,646,4260,60,TRUE,414,415
643,647,4260,180,TRUE,414,416
643,649,4260,240,TRUE,414,417
643,650,4260,480,TRUE,414,418
644,647,4320,120,TRUE,415,416
644,649,4320,180,TRUE,415,417
644,650,4320,360,TRUE,415,418
645,649,4440,60,TRUE,416,417
645,650,4440,120,TRUE,416,418
646,651,4500,120,TRUE,417,418
648,651,1740,60,TRUE,419,420
648,652,1740,180,TRUE,419,421
648,653,1740,239,TRUE,419,422
648,654,1740,239,TRUE,419,423
648,655,1740,300,TRUE,419,424
648,656,1740,419,TRUE,419,425
648,657,1740,480,TRUE,419,426
648,658,1740,540,TRUE,419,427
648,659,1740,660,TRUE,419,428
648,660,1740,720,TRUE,419,429
648,661,1740,840,TRUE,419,430
648,662,1740,900,TRUE,419,431
648,664,1740,1020,TRUE,419,432
648,665,1740,2040,TRUE,419,433
649,652,1800,120,TRUE,420,421
649,653,1800,179,TRUE,420,422
649,654,1800,179,TRUE,420,423
649,655,1800,240,TRUE,420,424
649,656,1800,359,TRUE,420,425
649,657,1800,420,TRUE,420,426
649,658,1800,480,TRUE,420,427
649,659,1800,600,TRUE,420,428
649,660,1800,660,TRUE,420,429
649,661,1800,780,TRUE,420,430
649,662,1800,840,TRUE,420,431
649,664,1800,960,TRUE,420,432
649,665,1800,1920,TRUE,420,433
650,653,1920,59,TRUE,421,422
650,654,1920,59,TRUE,421,423
650,655,1920,120,TRUE,421,424
650,656,1920,239,TRUE,421,425
650,657,1920,300,TRUE,421,426
650,658,1920,360,TRUE,421,427
650,659,1920,480,TRUE,421,428
650,660,1920,540,TRUE,421,429
650,661,1920,660,TRUE,421,430
650,662,1920,720,TRUE,421,431
650,664,1920,840,TRUE,421,432
650,665,1920,1680,TRUE,421,433
651,654,1979,330,TRUE,422,423
651,655,1979,61,TRUE,422,424
651,656,1979,180,TRUE,422,425
651,657,1979,241,TRUE,422,426
651,658,1979,301,TRUE,422,427
651,659,1979,421,TRUE,422,428
651,660,1979,481,TRUE,422,429
651,661,1979,601,TRUE,422,430
651,662,1979,661,TRUE,422,431
651,664,1979,781,TRUE,422,432
651,665,1979,1562,TRUE,422,433
652,655,1979,61,TRUE,423,424
652,656,1979,180,TRUE,423,425
652,657,1979,241,TRUE,423,426
652,658,1979,301,TRUE,423,427
652,659,1979,421,TRUE,423,428
652,660,1979,481,TRUE,423,429
652,661,1979,601,TRUE,423,430
652,662,1979,661,TRUE,423,431
652,664,1979,781,TRUE,423,432
652,665,1979,1562,TRUE,423,433
653,656,2040,119,TRUE,424,425
653,657,2040,180,TRUE,424,426
